run_id,question_id,category,condition,query,retrieved_chunk_ids,retrieved_authority_tags,retrieved_award_years,retrieved_documents,answer,faithfulness,prompt_tokens,completion_tokens,total_tokens,model_name,timestamp
11,S-04,S,RAG-Standard,Do I have to pay back a Pell Grant?,chunk_001601 | chunk_001600 | chunk_001598 | chunk_001599 | chunk_000529,federal-consumer | federal-consumer | federal-consumer | federal-consumer | federal-primary,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2025-26,pell_grant.txt | pell_grant.txt | pell_grant.txt | pell_grant.txt | vol3_ch3_202526.txt,"A Federal Pell Grant, unlike a loan, does not have to be repaid, except under certain circumstances.",1.0,1627,22,1649,gpt-4o-mini-2024-07-18,2026-06-12T15:31:41.706247+00:00
12,S-04,S,RAG-AuthAware,Do I have to pay back a Pell Grant?,chunk_000529 | chunk_001601 | chunk_001600 | chunk_001598 | chunk_001599,federal-primary | federal-consumer | federal-consumer | federal-consumer | federal-consumer,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2025-26,vol3_ch3_202526.txt | pell_grant.txt | pell_grant.txt | pell_grant.txt | pell_grant.txt,"A Federal Pell Grant, unlike a loan, does not have to be repaid, except under certain circumstances.",1.0,1627,22,1649,gpt-4o-mini-2024-07-18,2026-06-12T15:31:45.766659+00:00
13,S-05,S,Baseline-LLM,What GPA do I need to keep my federal financial aid?,,,,,"The context does not provide specific information about the GPA requirements to maintain federal financial aid. Therefore, I cannot answer your question.",0.0,63,25,88,gpt-4o-mini-2024-07-18,2026-06-12T15:31:46.771955+00:00
14,S-05,S,RAG-Standard,What GPA do I need to keep my federal financial aid?,chunk_001633 | chunk_001602 | chunk_000166 | chunk_001637 | chunk_001634,institutional | federal-consumer | federal-primary | institutional | institutional,N/A | 2025-26 | 2025-26 | N/A | N/A,uw_sap.txt | sap_consumer.txt | vol1_ch1_202526.txt | uw_sap.txt | uw_sap.txt,"To keep your federal financial aid, you need to maintain a satisfactory academic progress standard, which typically includes maintaining a minimum GPA as determined by your school. For the University of Washington, undergraduate students must maintain at least a 2.0 cumulative GPA at the end of spring quarter. However, specific GPA requirements may vary by institution, so it's important to check your school's policy.",1.0,1885,75,1960,gpt-4o-mini-2024-07-18,2026-06-12T15:31:53.615476+00:00
15,S-05,S,RAG-AuthAware,What GPA do I need to keep my federal financial aid?,chunk_000166 | chunk_001602 | chunk_001633 | chunk_001637 | chunk_001634,federal-primary | federal-consumer | institutional | institutional | institutional,2025-26 | 2025-26 | N/A | N/A | N/A,vol1_ch1_202526.txt | sap_consumer.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt,"To maintain federal financial aid, you need to meet the satisfactory academic progress requirements set by your school. Generally, this includes maintaining a minimum grade-point average (GPA) as specified by your school's policy. For example, at the University of Washington, undergraduate students must maintain at least a 2.0 cumulative GPA. However, you should check your specific school's policy for the exact GPA requirement.",1.0,1885,79,1964,gpt-4o-mini-2024-07-18,2026-06-12T15:31:59.397043+00:00
17,S-06,S,RAG-Standard,How much of my attempted credits do I need to complete to keep my federal financial aid?,chunk_001634 | chunk_001633 | chunk_001637 | chunk_001625 | chunk_001597,institutional | institutional | institutional | institutional | federal-consumer,N/A | N/A | N/A | N/A | 2025-26,uw_sap.txt | uw_sap.txt | uw_sap.txt | pace_sap.txt | how_aid_calculated.txt,"To keep your federal financial aid, you need to complete a minimum of 80% of the cumulative credits you attempted.",1.0,1784,24,1808,gpt-4o-mini-2024-07-18,2026-06-12T15:32:02.770528+00:00
18,S-06,S,RAG-AuthAware,How much of my attempted credits do I need to complete to keep my federal financial aid?,chunk_001597 | chunk_001634 | chunk_001633 | chunk_001637 | chunk_001625,federal-consumer | institutional | institutional | institutional | institutional,2025-26 | N/A | N/A | N/A | N/A,how_aid_calculated.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt | pace_sap.txt,"To keep your federal financial aid, you need to complete a minimum of 80% of the cumulative credits you attempted. If you meet this requirement, you should be on pace to finish your degree before the maximum timeframe.",1.0,1784,44,1828,gpt-4o-mini-2024-07-18,2026-06-12T15:32:06.513934+00:00
19,S-07,S,Baseline-LLM,Can I get financial aid if I'm enrolled less than half-time or only part-time?,,,,,"The context does not provide specific information about eligibility for financial aid for students enrolled less than half-time or only part-time. Therefore, I cannot answer your question based on the provided information.",0.0,68,37,105,gpt-4o-mini-2024-07-18,2026-06-12T15:32:07.375783+00:00
20,S-07,S,RAG-Standard,Can I get financial aid if I'm enrolled less than half-time or only part-time?,chunk_001544 | chunk_000760 | chunk_000619 | chunk_001633 | chunk_000991,federal-outdated | federal-primary | federal-primary | institutional | federal-outdated,2024-25 | 2025-26 | 2025-26 | N/A | 2024-25,vol7_ch2_202425.txt | vol7_ch2_202526.txt | vol6_ch1_202526.txt | uw_sap.txt | vol1_ch1_202425.txt,"Yes, you can receive financial aid if you are enrolled less than half-time, but this depends on the type of aid. For Campus-Based Programs, a student does not have to be enrolled at least half-time to be eligible for aid, unless they are seeking aid for a teacher certification or professional credential program. However, for other types of aid, such as Direct Loans, different enrollment standards may apply.",0.8,1562,81,1643,gpt-4o-mini-2024-07-18,2026-06-12T15:32:17.842897+00:00
21,S-07,S,RAG-AuthAware,Can I get financial aid if I'm enrolled less than half-time or only part-time?,chunk_000760 | chunk_000619 | chunk_001633 | chunk_001544 | chunk_000991,federal-primary | federal-primary | institutional | federal-outdated | federal-outdated,2025-26 | 2025-26 | N/A | 2024-25 | 2024-25,vol7_ch2_202526.txt | vol6_ch1_202526.txt | uw_sap.txt | vol7_ch2_202425.txt | vol1_ch1_202425.txt,"Yes, you can receive financial aid if you are enrolled less than half-time or only part-time for certain types of Campus-Based Programs, unless you are seeking aid to attend a teacher certification or professional credential program.",0.5,1562,42,1604,gpt-4o-mini-2024-07-18,2026-06-12T15:32:22.661366+00:00
22,S-08,S,Baseline-LLM,What is the most I can borrow in federal loans as a first-year undergraduate?,,,,,"The context does not provide specific information about the maximum amount you can borrow in federal loans as a first-year undergraduate. Therefore, I cannot answer your question.",0.0,67,31,98,gpt-4o-mini-2024-07-18,2026-06-12T15:32:23.432652+00:00
23,S-08,S,RAG-Standard,What is the most I can borrow in federal loans as a first-year undergraduate?,chunk_001606 | chunk_000510 | chunk_001604 | chunk_001297 | chunk_001298,federal-consumer | federal-primary | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,subsidized_loans.txt | vol3_ch3_202526.txt | subsidized_loans.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt,"As a first-year dependent undergraduate student, the combined Direct Subsidized Loan and Direct Unsubsidized Loan annual loan limit is $5,500, with a maximum of $3,500 available in Direct Subsidized Loans. If you are an independent first-year undergraduate student, the combined limit is $9,500, with a maximum of $3,500 in Direct Subsidized Loans.",1.0,2036,78,2114,gpt-4o-mini-2024-07-18,2026-06-12T15:32:29.760688+00:00
24,S-08,S,RAG-AuthAware,What is the most I can borrow in federal loans as a first-year undergraduate?,chunk_000510 | chunk_001606 | chunk_001604 | chunk_001297 | chunk_001298,federal-primary | federal-consumer | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol3_ch3_202526.txt | subsidized_loans.txt | subsidized_loans.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt,"As a first-year undergraduate, the combined annual loan limit for Direct Subsidized Loans and Direct Unsubsidized Loans is $5,500, with a maximum of $3,500 available as a Direct Subsidized Loan.",1.0,2036,45,2081,gpt-4o-mini-2024-07-18,2026-06-12T15:32:37.127325+00:00
25,S-09,S,Baseline-LLM,What is the most I can ever borrow in federal loans as an undergraduate student?,,,,,"The context does not provide specific information about the maximum amount you can borrow in federal loans as an undergraduate student. Therefore, I cannot answer that question.",0.0,67,30,97,gpt-4o-mini-2024-07-18,2026-06-12T15:32:37.937945+00:00
26,S-09,S,RAG-Standard,What is the most I can ever borrow in federal loans as an undergraduate student?,chunk_001606 | chunk_000510 | chunk_001297 | chunk_000507 | chunk_001293,federal-consumer | federal-primary | federal-outdated | federal-primary | federal-outdated,2025-26 | 2025-26 | 2024-25 | 2025-26 | 2024-25,subsidized_loans.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt,"The context does not provide a specific maximum aggregate loan limit for undergraduate students. Therefore, I cannot answer your question clearly based on the provided information.",1.0,2085,29,2114,gpt-4o-mini-2024-07-18,2026-06-12T15:32:39.821404+00:00
27,S-09,S,RAG-AuthAware,What is the most I can ever borrow in federal loans as an undergraduate student?,chunk_000510 | chunk_000507 | chunk_001606 | chunk_001297 | chunk_001293,federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol3_ch3_202526.txt | vol3_ch3_202526.txt | subsidized_loans.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt,"The context does not provide specific information about the maximum amount you can borrow in federal loans as an undergraduate student. Therefore, I cannot answer that question clearly.",1.0,2085,31,2116,gpt-4o-mini-2024-07-18,2026-06-12T15:32:41.465057+00:00
28,S-10,S,Baseline-LLM,Does my parents' income affect my financial aid even if I pay for school myself?,,,,,"Yes, your parents' income can affect your financial aid eligibility, even if you are paying for school yourself.",0.0,68,22,90,gpt-4o-mini-2024-07-18,2026-06-12T15:32:42.505045+00:00
29,S-10,S,RAG-Standard,Does my parents' income affect my financial aid even if I pay for school myself?,chunk_000082 | chunk_000857 | chunk_000085 | chunk_001201 | chunk_000420,federal-primary | federal-outdated | federal-primary | federal-outdated | federal-primary,2025-26 | 2024-25 | 2025-26 | 2024-25 | 2025-26,avg_ch3_202526.txt | avg_ch3_202425.txt | avg_ch3_202526.txt | vol2_intro_202425.txt | vol2_intro_202526.txt,"Yes, your parents' income can affect your financial aid even if you pay for school yourself. The financial aid process considers your parents' available income and contribution when determining your eligibility for aid, as they are expected to contribute to your education costs if you are a dependent student.",0.75,2016,55,2071,gpt-4o-mini-2024-07-18,2026-06-12T15:32:47.752804+00:00
30,S-10,S,RAG-AuthAware,Does my parents' income affect my financial aid even if I pay for school myself?,chunk_000082 | chunk_000085 | chunk_000420 | chunk_000857 | chunk_001201,federal-primary | federal-primary | federal-primary | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,avg_ch3_202526.txt | avg_ch3_202526.txt | vol2_intro_202526.txt | avg_ch3_202425.txt | vol2_intro_202425.txt,"Yes, your parents' income can affect your financial aid even if you pay for school yourself. The financial aid process considers the parents' contribution from available income and assets when determining the overall financial aid package.",0.5,2016,41,2057,gpt-4o-mini-2024-07-18,2026-06-12T15:32:53.503356+00:00
31,S-11,S,Baseline-LLM,What happens to my financial aid if I repeat a class I already passed?,,,,,"The context does not provide information about what happens to financial aid if you repeat a class you already passed. Therefore, I cannot answer your question.",0.0,66,29,95,gpt-4o-mini-2024-07-18,2026-06-12T15:32:55.146063+00:00
32,S-11,S,RAG-Standard,What happens to my financial aid if I repeat a class I already passed?,chunk_001632 | chunk_000989 | chunk_000213 | chunk_000999 | chunk_000168,institutional | federal-outdated | federal-primary | federal-outdated | federal-primary,N/A | 2024-25 | 2025-26 | 2024-25 | 2025-26,umich_sap.txt | vol1_ch1_202425.txt | vol1_ch1_202526.txt | vol1_ch1_202425.txt | vol1_ch1_202526.txt,"If you repeat a class that you have already passed, your school may have a policy that permits or bars you from retaking that coursework for reasons such as improving your grade point average. This means that you should consult with your school's registrar to understand how this policy is implemented. Additionally, if your school has designated the repeated course as not-for-credit, you may be required to repay some of your already disbursed financial aid.",1.0,1830,86,1916,gpt-4o-mini-2024-07-18,2026-06-12T15:33:04.857893+00:00
33,S-11,S,RAG-AuthAware,What happens to my financial aid if I repeat a class I already passed?,chunk_000213 | chunk_000168 | chunk_001632 | chunk_000989 | chunk_000999,federal-primary | federal-primary | institutional | federal-outdated | federal-outdated,2025-26 | 2025-26 | N/A | 2024-25 | 2024-25,vol1_ch1_202526.txt | vol1_ch1_202526.txt | umich_sap.txt | vol1_ch1_202425.txt | vol1_ch1_202425.txt,"If you are repeating a course that you have already passed, you need to ensure that your school has not designated it as not-for-credit. If it is designated as not-for-credit, you may be required to repay some of your already disbursed financial aid. Additionally, your school may have its own policy regarding retaking previously passed coursework, which could affect your eligibility for Title IV aid. It is advisable to consult with your school's registrar for specific guidance on this matter.",1.0,1830,95,1925,gpt-4o-mini-2024-07-18,2026-06-12T15:33:12.122950+00:00
34,S-12,S,Baseline-LLM,Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?,,,,,"The context does not provide information about eligibility for federal financial aid if you owe money on a previous federal loan. Therefore, I cannot answer your question.",0.0,72,30,102,gpt-4o-mini-2024-07-18,2026-06-12T15:33:13.760734+00:00
35,S-12,S,RAG-Standard,Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?,chunk_000289 | chunk_001064 | chunk_001632 | chunk_001603 | chunk_001065,federal-primary | federal-outdated | institutional | federal-consumer | federal-outdated,2025-26 | 2024-25 | N/A | 2025-26 | 2024-25,vol1_ch3_202526.txt | vol1_ch3_202425.txt | umich_sap.txt | sap_consumer.txt | vol1_ch3_202425.txt,"No, you generally cannot get federal financial aid if you are in default on a Direct Loan, FFEL Program Loan, or Perkins Loan, or if you owe an overpayment on a Pell, TEACH, IASG, or FSEOG grant and have not made a repayment arrangement for the default or overpayment.",1.0,1394,64,1458,gpt-4o-mini-2024-07-18,2026-06-12T15:33:23.911339+00:00
36,S-12,S,RAG-AuthAware,Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?,chunk_000289 | chunk_001603 | chunk_001632 | chunk_001064 | chunk_001065,federal-primary | federal-consumer | institutional | federal-outdated | federal-outdated,2025-26 | 2025-26 | N/A | 2024-25 | 2024-25,vol1_ch3_202526.txt | sap_consumer.txt | umich_sap.txt | vol1_ch3_202425.txt | vol1_ch3_202425.txt,"No, you generally cannot get federal financial aid if you are in default on a Direct Loan, FFEL Program Loan, or Perkins Loan, or if you owe an overpayment on a Pell, TEACH, IASG, or FSEOG grant and have not made a repayment arrangement for the default or overpayment.",1.0,1394,64,1458,gpt-4o-mini-2024-07-18,2026-06-12T15:33:41.966389+00:00
37,S-13,S,Baseline-LLM,How long do I have after I graduate before I have to start paying back my federal loans?,,,,,You typically have a six-month grace period after you graduate before you have to start paying back your federal loans.,0.0,70,22,92,gpt-4o-mini-2024-07-18,2026-06-12T15:33:42.638295+00:00
38,S-13,S,RAG-Standard,How long do I have after I graduate before I have to start paying back my federal loans?,chunk_001602 | chunk_001606 | chunk_001608 | chunk_001634 | chunk_001605,federal-consumer | federal-consumer | federal-consumer | institutional | federal-consumer,2025-26 | 2025-26 | 2025-26 | N/A | 2025-26,sap_consumer.txt | subsidized_loans.txt | subsidized_loans.txt | uw_sap.txt | subsidized_loans.txt,"After you graduate, leave school, or drop below half-time enrollment, you will have a six-month grace period before you are required to begin repayment of your federal loans.",1.0,1936,34,1970,gpt-4o-mini-2024-07-18,2026-06-12T15:33:48.456207+00:00
39,S-13,S,RAG-AuthAware,How long do I have after I graduate before I have to start paying back my federal loans?,chunk_001602 | chunk_001606 | chunk_001608 | chunk_001605 | chunk_001634,federal-consumer | federal-consumer | federal-consumer | federal-consumer | institutional,2025-26 | 2025-26 | 2025-26 | 2025-26 | N/A,sap_consumer.txt | subsidized_loans.txt | subsidized_loans.txt | subsidized_loans.txt | uw_sap.txt,You have a six-month grace period after you graduate before you are required to begin repayment of your federal loans.,1.0,1936,22,1958,gpt-4o-mini-2024-07-18,2026-06-12T15:33:52.781122+00:00
40,S-14,S,Baseline-LLM,What is Federal Work-Study?,,,,,"Federal Work-Study is a program that provides part-time jobs for students with financial need, allowing them to earn money to help pay for college expenses. The program is funded by the federal government and is designed to encourage community service work and work related to the student's course of study.",0.0,58,56,114,gpt-4o-mini-2024-07-18,2026-06-12T15:33:54.098036+00:00
41,S-14,S,RAG-Standard,What is Federal Work-Study?,chunk_001610 | chunk_001453 | chunk_000669 | chunk_001465 | chunk_001520,federal-consumer | federal-outdated | federal-primary | federal-outdated | federal-outdated,2025-26 | 2024-25 | 2025-26 | 2024-25 | 2024-25,work_study.txt | vol6_ch2_202425.txt | vol6_ch2_202526.txt | vol6_ch2_202425.txt | vol6_intro_202425.txt,"Federal Work-Study is a program that provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay for education expenses. The program encourages community service work and work related to the student’s course of study. It is available to both full-time and part-time students and is administered by schools that participate in the Federal Work-Study Program.",1.0,1897,76,1973,gpt-4o-mini-2024-07-18,2026-06-12T15:33:59.840918+00:00
42,S-14,S,RAG-AuthAware,What is Federal Work-Study?,chunk_000669 | chunk_001610 | chunk_001453 | chunk_001465 | chunk_001520,federal-primary | federal-consumer | federal-outdated | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2024-25 | 2024-25 | 2024-25,vol6_ch2_202526.txt | work_study.txt | vol6_ch2_202425.txt | vol6_ch2_202425.txt | vol6_intro_202425.txt,"Federal Work-Study (FWS) is a program that provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay for education expenses. The program encourages community service work and work related to the student’s course of study. It is available to both full-time and part-time students and is administered by schools that participate in the Federal Work-Study Program.",1.0,1897,80,1977,gpt-4o-mini-2024-07-18,2026-06-12T15:34:07.986150+00:00
43,S-15,S,Baseline-LLM,Does getting a scholarship affect how much federal aid I can receive?,,,,,"The context does not provide specific information about how scholarships affect federal aid. Therefore, I cannot answer that question.",0.0,64,22,86,gpt-4o-mini-2024-07-18,2026-06-12T15:34:08.830205+00:00
44,S-15,S,RAG-Standard,Does getting a scholarship affect how much federal aid I can receive?,chunk_001597 | chunk_001288 | chunk_000502 | chunk_001599 | chunk_001613,federal-consumer | federal-outdated | federal-primary | federal-consumer | professional,2025-26 | 2024-25 | 2025-26 | 2025-26 | N/A,how_aid_calculated.txt | vol3_ch3_202425.txt | vol3_ch3_202526.txt | pell_grant.txt | nasfaa_about_financial_aid.txt,"Yes, getting a scholarship can affect how much federal aid you can receive. Scholarships are considered part of your financial aid awarded, and they are included in the calculation for your eligibility for non-need-based aid. Specifically, your total financial aid awarded (which includes scholarships) is subtracted from your Cost of Attendance (COA) to determine your eligibility for non-need-based aid.",1.0,1886,77,1963,gpt-4o-mini-2024-07-18,2026-06-12T15:34:16.280092+00:00
45,S-15,S,RAG-AuthAware,Does getting a scholarship affect how much federal aid I can receive?,chunk_000502 | chunk_001597 | chunk_001599 | chunk_001613 | chunk_001288,federal-primary | federal-consumer | federal-consumer | professional | federal-outdated,2025-26 | 2025-26 | 2025-26 | N/A | 2024-25,vol3_ch3_202526.txt | how_aid_calculated.txt | pell_grant.txt | nasfaa_about_financial_aid.txt | vol3_ch3_202425.txt,"Yes, getting a scholarship can affect how much federal aid you can receive. Scholarships are considered part of your financial aid package, and they are subtracted from your Cost of Attendance (COA) when determining your eligibility for need-based and non-need-based aid. This means that the total amount of aid you can receive may be reduced by the amount of the scholarship you receive.",1.0,1886,76,1962,gpt-4o-mini-2024-07-18,2026-06-12T15:34:22.347506+00:00
46,M2-01,M2,Baseline-LLM,"If I take out a subsidized loan, do I have to pay interest while I'm still in school?",,,,,"No, if you take out a subsidized loan, you do not have to pay interest while you are still in school. The government pays the interest on subsidized loans while you are enrolled at least half-time.",0.0,72,43,115,gpt-4o-mini-2024-07-18,2026-06-12T15:34:23.384805+00:00
47,M2-01,M2,RAG-Standard,"If I take out a subsidized loan, do I have to pay interest while I'm still in school?",chunk_001605 | chunk_001604 | chunk_001255 | chunk_000469 | chunk_000506,federal-consumer | federal-consumer | federal-outdated | federal-primary | federal-primary,2025-26 | 2025-26 | 2024-25 | 2025-26 | 2025-26,subsidized_loans.txt | subsidized_loans.txt | vol3_ch1_202425.txt | vol3_ch1_202526.txt | vol3_ch3_202526.txt,"No, you do not have to pay interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.",0.25,2030,57,2087,gpt-4o-mini-2024-07-18,2026-06-12T15:34:28.697688+00:00
48,M2-01,M2,RAG-AuthAware,"If I take out a subsidized loan, do I have to pay interest while I'm still in school?",chunk_000469 | chunk_000506 | chunk_001605 | chunk_001604 | chunk_001255,federal-primary | federal-primary | federal-consumer | federal-consumer | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2024-25,vol3_ch1_202526.txt | vol3_ch3_202526.txt | subsidized_loans.txt | subsidized_loans.txt | vol3_ch1_202425.txt,"No, you do not have to pay the interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.",0.75,2030,58,2088,gpt-4o-mini-2024-07-18,2026-06-12T15:34:36.733764+00:00
49,M2-02,M2,Baseline-LLM,Can I get a Pell Grant and a Work-Study job at the same time?,,,,,"Yes, you can receive a Pell Grant and have a Work-Study job at the same time.",0.0,68,20,88,gpt-4o-mini-2024-07-18,2026-06-12T15:34:37.668556+00:00
50,M2-02,M2,RAG-Standard,Can I get a Pell Grant and a Work-Study job at the same time?,chunk_000743 | chunk_001527 | chunk_001222 | chunk_000436 | chunk_001601,federal-primary | federal-outdated | federal-outdated | federal-primary | federal-consumer,2025-26 | 2024-25 | 2024-25 | 2025-26 | 2025-26,vol7_ch1_202526.txt | vol7_ch1_202425.txt | vol3_ch1_202425.txt | vol3_ch1_202526.txt | pell_grant.txt,"The context does not provide information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the provided information.",1.0,1454,35,1489,gpt-4o-mini-2024-07-18,2026-06-12T15:34:39.354699+00:00
51,M2-02,M2,RAG-AuthAware,Can I get a Pell Grant and a Work-Study job at the same time?,chunk_000743 | chunk_000436 | chunk_001601 | chunk_001527 | chunk_001222,federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol7_ch1_202526.txt | vol3_ch1_202526.txt | pell_grant.txt | vol7_ch1_202425.txt | vol3_ch1_202425.txt,"The context provided does not contain information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the information available.",1.0,1454,36,1490,gpt-4o-mini-2024-07-18,2026-06-12T15:34:40.927338+00:00
52,M2-03,M2,Baseline-LLM,I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?,,,,,"Yes, attending school half-time instead of full-time can affect the amount of Pell Grant you receive. Pell Grants are awarded based on your enrollment status, and typically, full-time students receive a larger amount than half-time students.",0.0,72,45,117,gpt-4o-mini-2024-07-18,2026-06-12T15:34:42.364636+00:00
