"question_id","category","condition","question_text","ground_truth_answer","llm_answer","source_priority_note","answer_correctness","scorer_notes"
"S-04","S","RAG-AuthAware","Do I have to pay back a Pell Grant?","Pell Grants do not have to be repaid in most cases. They are grants, not loans.","A Federal Pell Grant, unlike a loan, does not have to be repaid, except under certain circumstances.","federal-consumer (priority 2)","",""
"S-05","S","Baseline-LLM","What GPA do I need to keep my federal financial aid?","Students must maintain a minimum cumulative GPA of 2.0 on a 4.0 scale (or its equivalent) to maintain Satisfactory Academic Progress for federal aid eligibility.","The context does not provide specific information about the GPA requirements to maintain federal financial aid. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"S-05","S","RAG-Standard","What GPA do I need to keep my federal financial aid?","Students must maintain a minimum cumulative GPA of 2.0 on a 4.0 scale (or its equivalent) to maintain Satisfactory Academic Progress for federal aid eligibility.","To keep your federal financial aid, you need to maintain a satisfactory academic progress standard, which typically includes maintaining a minimum GPA as determined by your school. For the University of Washington, undergraduate students must maintain at least a 2.0 cumulative GPA at the end of spring quarter. However, specific GPA requirements may vary by institution, so it's important to check your school's policy.","federal-primary (priority 1)","",""
"S-05","S","RAG-AuthAware","What GPA do I need to keep my federal financial aid?","Students must maintain a minimum cumulative GPA of 2.0 on a 4.0 scale (or its equivalent) to maintain Satisfactory Academic Progress for federal aid eligibility.","To maintain federal financial aid, you need to meet the satisfactory academic progress requirements set by your school. Generally, this includes maintaining a minimum grade-point average (GPA) as specified by your school's policy. For example, at the University of Washington, undergraduate students must maintain at least a 2.0 cumulative GPA. However, you should check your specific school's policy for the exact GPA requirement.","federal-primary (priority 1)","",""
"S-06","S","Baseline-LLM","How much of my attempted credits do I need to complete to keep my federal financial aid?","Students must successfully complete at least 67% of all credit hours they attempt cumulatively.","The context does not provide specific information about the percentage of attempted credits you need to complete to maintain your federal financial aid. Please check with your school's financial aid office for the exact requirements.","federal-primary (priority 1)","",""
"S-06","S","RAG-Standard","How much of my attempted credits do I need to complete to keep my federal financial aid?","Students must successfully complete at least 67% of all credit hours they attempt cumulatively.","To keep your federal financial aid, you need to complete a minimum of 80% of the cumulative credits you attempted.","federal-primary (priority 1)","",""
"S-06","S","RAG-AuthAware","How much of my attempted credits do I need to complete to keep my federal financial aid?","Students must successfully complete at least 67% of all credit hours they attempt cumulatively.","To keep your federal financial aid, you need to complete a minimum of 80% of the cumulative credits you attempted. If you meet this requirement, you should be on pace to finish your degree before the maximum timeframe.","federal-primary (priority 1)","",""
"S-07","S","Baseline-LLM","Can I get financial aid if I'm enrolled less than half-time or only part-time?","Students enrolled less than half-time may still receive a Pell Grant but are generally not eligible for subsidized or unsubsidized Direct Loans. Half-time enrollment is typically 6 credit hours per semester for undergraduates.","The context does not provide specific information about eligibility for financial aid for students enrolled less than half-time or only part-time. Therefore, I cannot answer your question based on the provided information.","federal-primary (priority 1)","",""
"S-07","S","RAG-Standard","Can I get financial aid if I'm enrolled less than half-time or only part-time?","Students enrolled less than half-time may still receive a Pell Grant but are generally not eligible for subsidized or unsubsidized Direct Loans. Half-time enrollment is typically 6 credit hours per semester for undergraduates.","Yes, you can receive financial aid if you are enrolled less than half-time, but this depends on the type of aid. For Campus-Based Programs, a student does not have to be enrolled at least half-time to be eligible for aid, unless they are seeking aid for a teacher certification or professional credential program. However, for other types of aid, such as Direct Loans, different enrollment standards may apply.","federal-primary (priority 1)","",""
"S-07","S","RAG-AuthAware","Can I get financial aid if I'm enrolled less than half-time or only part-time?","Students enrolled less than half-time may still receive a Pell Grant but are generally not eligible for subsidized or unsubsidized Direct Loans. Half-time enrollment is typically 6 credit hours per semester for undergraduates.","Yes, you can receive financial aid if you are enrolled less than half-time or only part-time for certain types of Campus-Based Programs, unless you are seeking aid to attend a teacher certification or professional credential program.","federal-primary (priority 1)","",""
"S-08","S","Baseline-LLM","What is the most I can borrow in federal loans as a first-year undergraduate?","First-year dependent undergraduate students may borrow up to $5,500 per year in Direct Loans (no more than $3,500 of which may be subsidized). First-year independent undergraduates may borrow up to $9,500 (no more than $3,500 subsidized).","The context does not provide specific information about the maximum amount you can borrow in federal loans as a first-year undergraduate. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"S-08","S","RAG-Standard","What is the most I can borrow in federal loans as a first-year undergraduate?","First-year dependent undergraduate students may borrow up to $5,500 per year in Direct Loans (no more than $3,500 of which may be subsidized). First-year independent undergraduates may borrow up to $9,500 (no more than $3,500 subsidized).","As a first-year dependent undergraduate student, the combined Direct Subsidized Loan and Direct Unsubsidized Loan annual loan limit is $5,500, with a maximum of $3,500 available in Direct Subsidized Loans. If you are an independent first-year undergraduate student, the combined limit is $9,500, with a maximum of $3,500 in Direct Subsidized Loans.","federal-primary (priority 1)","",""
"S-08","S","RAG-AuthAware","What is the most I can borrow in federal loans as a first-year undergraduate?","First-year dependent undergraduate students may borrow up to $5,500 per year in Direct Loans (no more than $3,500 of which may be subsidized). First-year independent undergraduates may borrow up to $9,500 (no more than $3,500 subsidized).","As a first-year undergraduate, the combined annual loan limit for Direct Subsidized Loans and Direct Unsubsidized Loans is $5,500, with a maximum of $3,500 available as a Direct Subsidized Loan.","federal-primary (priority 1)","",""
"S-09","S","Baseline-LLM","What is the most I can ever borrow in federal loans as an undergraduate student?","The aggregate loan limit for dependent undergraduates is $31,000 (no more than $23,000 subsidized). For independent undergraduates the limit is $57,500 (no more than $23,000 subsidized).","The context does not provide specific information about the maximum amount you can borrow in federal loans as an undergraduate student. Therefore, I cannot answer that question.","federal-primary (priority 1)","",""
"S-09","S","RAG-Standard","What is the most I can ever borrow in federal loans as an undergraduate student?","The aggregate loan limit for dependent undergraduates is $31,000 (no more than $23,000 subsidized). For independent undergraduates the limit is $57,500 (no more than $23,000 subsidized).","The context does not provide a specific maximum aggregate loan limit for undergraduate students. Therefore, I cannot answer your question clearly based on the provided information.","federal-primary (priority 1)","",""
"S-09","S","RAG-AuthAware","What is the most I can ever borrow in federal loans as an undergraduate student?","The aggregate loan limit for dependent undergraduates is $31,000 (no more than $23,000 subsidized). For independent undergraduates the limit is $57,500 (no more than $23,000 subsidized).","The context does not provide specific information about the maximum amount you can borrow in federal loans as an undergraduate student. Therefore, I cannot answer that question clearly.","federal-primary (priority 1)","",""
"S-10","S","Baseline-LLM","Does my parents' income affect my financial aid even if I pay for school myself?","For dependent students, parental income and assets are included in the SAI calculation regardless of whether the parent contributes financially. A student is considered dependent unless they meet specific federal independence criteria.","Yes, your parents' income can affect your financial aid eligibility, even if you are paying for school yourself.","federal-primary (priority 1)","",""
"S-10","S","RAG-Standard","Does my parents' income affect my financial aid even if I pay for school myself?","For dependent students, parental income and assets are included in the SAI calculation regardless of whether the parent contributes financially. A student is considered dependent unless they meet specific federal independence criteria.","Yes, your parents' income can affect your financial aid even if you pay for school yourself. The financial aid process considers your parents' available income and contribution when determining your eligibility for aid, as they are expected to contribute to your education costs if you are a dependent student.","federal-primary (priority 1)","",""
"S-10","S","RAG-AuthAware","Does my parents' income affect my financial aid even if I pay for school myself?","For dependent students, parental income and assets are included in the SAI calculation regardless of whether the parent contributes financially. A student is considered dependent unless they meet specific federal independence criteria.","Yes, your parents' income can affect your financial aid even if you pay for school yourself. The financial aid process considers the parents' contribution from available income and assets when determining the overall financial aid package.","federal-primary (priority 1)","",""
"S-11","S","Baseline-LLM","What happens to my financial aid if I repeat a class I already passed?","A student may receive Title IV aid for one repetition of a previously passed course. Aid cannot be paid for a second or subsequent repetition of a course the student passed.","The context does not provide information about what happens to financial aid if you repeat a class you already passed. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"S-11","S","RAG-Standard","What happens to my financial aid if I repeat a class I already passed?","A student may receive Title IV aid for one repetition of a previously passed course. Aid cannot be paid for a second or subsequent repetition of a course the student passed.","If you repeat a class that you have already passed, your school may have a policy that permits or bars you from retaking that coursework for reasons such as improving your grade point average. This means that you should consult with your school's registrar to understand how this policy is implemented. Additionally, if your school has designated the repeated course as not-for-credit, you may be required to repay some of your already disbursed financial aid.","federal-primary (priority 1)","",""
"S-11","S","RAG-AuthAware","What happens to my financial aid if I repeat a class I already passed?","A student may receive Title IV aid for one repetition of a previously passed course. Aid cannot be paid for a second or subsequent repetition of a course the student passed.","If you are repeating a course that you have already passed, you need to ensure that your school has not designated it as not-for-credit. If it is designated as not-for-credit, you may be required to repay some of your already disbursed financial aid. Additionally, your school may have its own policy regarding retaking previously passed coursework, which could affect your eligibility for Title IV aid. It is advisable to consult with your school's registrar for specific guidance on this matter.","federal-primary (priority 1)","",""
"S-12","S","Baseline-LLM","Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?","Students who are in default on a federal student loan are not eligible for additional Title IV federal student aid until the default is resolved.","The context does not provide information about eligibility for federal financial aid if you owe money on a previous federal loan. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"S-12","S","RAG-Standard","Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?","Students who are in default on a federal student loan are not eligible for additional Title IV federal student aid until the default is resolved.","No, you generally cannot get federal financial aid if you are in default on a Direct Loan, FFEL Program Loan, or Perkins Loan, or if you owe an overpayment on a Pell, TEACH, IASG, or FSEOG grant and have not made a repayment arrangement for the default or overpayment.","federal-primary (priority 1)","",""
"S-12","S","RAG-AuthAware","Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?","Students who are in default on a federal student loan are not eligible for additional Title IV federal student aid until the default is resolved.","No, you generally cannot get federal financial aid if you are in default on a Direct Loan, FFEL Program Loan, or Perkins Loan, or if you owe an overpayment on a Pell, TEACH, IASG, or FSEOG grant and have not made a repayment arrangement for the default or overpayment.","federal-primary (priority 1)","",""
"S-13","S","Baseline-LLM","How long do I have after I graduate before I have to start paying back my federal loans?","For most federal student loan types you have a six-month grace period after you graduate, leave school, or drop below half-time enrollment before you must begin making payments.","You typically have a six-month grace period after you graduate before you have to start paying back your federal loans.","federal-consumer (priority 2)","",""
"S-13","S","RAG-Standard","How long do I have after I graduate before I have to start paying back my federal loans?","For most federal student loan types you have a six-month grace period after you graduate, leave school, or drop below half-time enrollment before you must begin making payments.","After you graduate, leave school, or drop below half-time enrollment, you will have a six-month grace period before you are required to begin repayment of your federal loans.","federal-consumer (priority 2)","",""
"S-13","S","RAG-AuthAware","How long do I have after I graduate before I have to start paying back my federal loans?","For most federal student loan types you have a six-month grace period after you graduate, leave school, or drop below half-time enrollment before you must begin making payments.","You have a six-month grace period after you graduate before you are required to begin repayment of your federal loans.","federal-consumer (priority 2)","",""
"S-14","S","Baseline-LLM","What is Federal Work-Study?","Federal Work-Study provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay education expenses. The program encourages community service work and work related to the student's course of study.","Federal Work-Study is a program that provides part-time jobs for students with financial need, allowing them to earn money to help pay for college expenses. The program is funded by the federal government and is designed to encourage community service work and work related to the student's course of study.","federal-consumer (priority 2)","",""
"S-14","S","RAG-Standard","What is Federal Work-Study?","Federal Work-Study provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay education expenses. The program encourages community service work and work related to the student's course of study.","Federal Work-Study is a program that provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay for education expenses. The program encourages community service work and work related to the student’s course of study. It is available to both full-time and part-time students and is administered by schools that participate in the Federal Work-Study Program.","federal-consumer (priority 2)","",""
"S-14","S","RAG-AuthAware","What is Federal Work-Study?","Federal Work-Study provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay education expenses. The program encourages community service work and work related to the student's course of study.","Federal Work-Study (FWS) is a program that provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay for education expenses. The program encourages community service work and work related to the student’s course of study. It is available to both full-time and part-time students and is administered by schools that participate in the Federal Work-Study Program.","federal-consumer (priority 2)","",""
"S-15","S","Baseline-LLM","Does getting a scholarship affect how much federal aid I can receive?","Outside scholarships may reduce a student's financial need and therefore reduce need-based aid. Schools are required to adjust a student's aid package if total aid including outside scholarships exceeds the student's Cost of Attendance or financial need.","The context does not provide specific information about how scholarships affect federal aid. Therefore, I cannot answer that question.","federal-primary (priority 1)","",""
"S-15","S","RAG-Standard","Does getting a scholarship affect how much federal aid I can receive?","Outside scholarships may reduce a student's financial need and therefore reduce need-based aid. Schools are required to adjust a student's aid package if total aid including outside scholarships exceeds the student's Cost of Attendance or financial need.","Yes, getting a scholarship can affect how much federal aid you can receive. Scholarships are considered part of your financial aid awarded, and they are included in the calculation for your eligibility for non-need-based aid. Specifically, your total financial aid awarded (which includes scholarships) is subtracted from your Cost of Attendance (COA) to determine your eligibility for non-need-based aid.","federal-primary (priority 1)","",""
"S-15","S","RAG-AuthAware","Does getting a scholarship affect how much federal aid I can receive?","Outside scholarships may reduce a student's financial need and therefore reduce need-based aid. Schools are required to adjust a student's aid package if total aid including outside scholarships exceeds the student's Cost of Attendance or financial need.","Yes, getting a scholarship can affect how much federal aid you can receive. Scholarships are considered part of your financial aid package, and they are subtracted from your Cost of Attendance (COA) when determining your eligibility for need-based and non-need-based aid. This means that the total amount of aid you can receive may be reduced by the amount of the scholarship you receive.","federal-primary (priority 1)","",""
"M2-01","M2","Baseline-LLM","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","No. The federal government pays the interest on Direct Subsidized Loans while the student is enrolled at least half-time. Interest does not accrue during this period.","No, if you take out a subsidized loan, you do not have to pay interest while you are still in school. The government pays the interest on subsidized loans while you are enrolled at least half-time.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-01","M2","RAG-Standard","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","No. The federal government pays the interest on Direct Subsidized Loans while the student is enrolled at least half-time. Interest does not accrue during this period.","No, you do not have to pay interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-01","M2","RAG-AuthAware","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","No. The federal government pays the interest on Direct Subsidized Loans while the student is enrolled at least half-time. Interest does not accrue during this period.","No, you do not have to pay the interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-02","M2","Baseline-LLM","Can I get a Pell Grant and a Work-Study job at the same time?","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","Yes, you can receive a Pell Grant and have a Work-Study job at the same time.","federal-consumer (priority 2) — two documents required","",""
"M2-02","M2","RAG-Standard","Can I get a Pell Grant and a Work-Study job at the same time?","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","The context does not provide information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the provided information.","federal-consumer (priority 2) — two documents required","",""
"M2-02","M2","RAG-AuthAware","Can I get a Pell Grant and a Work-Study job at the same time?","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","The context provided does not contain information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the information available.","federal-consumer (priority 2) — two documents required","",""
"M2-03","M2","Baseline-LLM","I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?","Yes. Pell Grant awards are adjusted based on enrollment intensity. A half-time student receives a proportionally reduced Pell Grant compared to a full-time student. The exact amount depends on the enrollment intensity percentage applied to the student's full-time award.","Yes, attending school half-time instead of full-time can affect the amount of Pell Grant you receive. Pell Grants are awarded based on your enrollment status, and typically, full-time students receive a larger amount than half-time students.","federal-primary (priority 1)","",""
"M2-03","M2","RAG-Standard","I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?","Yes. Pell Grant awards are adjusted based on enrollment intensity. A half-time student receives a proportionally reduced Pell Grant compared to a full-time student. The exact amount depends on the enrollment intensity percentage applied to the student's full-time award.","Yes, attending school half-time instead of full-time will affect the amount of your Pell Grant. The Scheduled Award for a less-than-half-time student is capped at a lower amount compared to full-time enrollment. For example, if your Pell Grant amount is $7,500 as a full-time student, it may be capped at $3,500 if you are enrolled less than half-time.","federal-primary (priority 1)","",""
"M2-03","M2","RAG-AuthAware","I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?","Yes. Pell Grant awards are adjusted based on enrollment intensity. A half-time student receives a proportionally reduced Pell Grant compared to a full-time student. The exact amount depends on the enrollment intensity percentage applied to the student's full-time award.","Yes, attending school half-time instead of full-time will affect the amount of your Pell Grant. The Scheduled Award for a less-than-half-time student is capped at a lower amount compared to a full-time student. For example, if the cost of attendance (COA) for less-than-half-time is less than the maximum Pell Grant amount, your award will be limited to that lower COA amount.","federal-primary (priority 1)","",""
"M2-04","M2","Baseline-LLM","If I transfer to a different school, do I have to reapply for financial aid?","Yes. Financial aid does not automatically transfer between schools. You must update your FAFSA to list the new school and the new institution will determine your aid eligibility based on its own Cost of Attendance and policies.","Yes, if you transfer to a different school, you will need to reapply for financial aid.","federal-primary (priority 1)","",""
"M2-04","M2","RAG-Standard","If I transfer to a different school, do I have to reapply for financial aid?","Yes. Financial aid does not automatically transfer between schools. You must update your FAFSA to list the new school and the new institution will determine your aid eligibility based on its own Cost of Attendance and policies.","The context does not provide information about transferring to a different school and whether you need to reapply for financial aid. Therefore, I cannot answer that question clearly.","federal-primary (priority 1)","",""
"M2-04","M2","RAG-AuthAware","If I transfer to a different school, do I have to reapply for financial aid?","Yes. Financial aid does not automatically transfer between schools. You must update your FAFSA to list the new school and the new institution will determine your aid eligibility based on its own Cost of Attendance and policies.","The context does not provide specific information about transferring to a different school and whether you need to reapply for financial aid. Therefore, I cannot answer that question clearly.","federal-primary (priority 1)","",""
"M2-05","M2","Baseline-LLM","Can I get financial aid for summer classes?","Yes. Pell Grants can be awarded for summer enrollment if the student has remaining LEU and the school has a summer aid program. Direct Loans may also be available for summer if annual limits have not been reached. Summer aid depends on the school's academic calendar structure.","The context does not provide information about financial aid for summer classes. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"M2-05","M2","RAG-Standard","Can I get financial aid for summer classes?","Yes. Pell Grants can be awarded for summer enrollment if the student has remaining LEU and the school has a summer aid program. Direct Loans may also be available for summer if annual limits have not been reached. Summer aid depends on the school's academic calendar structure.","Yes, you can get financial aid for summer classes, but it depends on your school's financial aid office's full-time enrollment standards. For example, while your school's academic policy may define full-time as six hours during the summer, the financial aid office may use 12 hours as the full-time standard for all terms, including the summer term. You should check with your school's financial aid office for specific eligibility requirements.","federal-primary (priority 1)","",""
"M2-05","M2","RAG-AuthAware","Can I get financial aid for summer classes?","Yes. Pell Grants can be awarded for summer enrollment if the student has remaining LEU and the school has a summer aid program. Direct Loans may also be available for summer if annual limits have not been reached. Summer aid depends on the school's academic calendar structure.","Yes, you can get financial aid for summer classes, but it depends on your school's enrollment standards. For Title IV purposes, your school's financial aid office may have a different full-time enrollment standard for summer classes compared to the academic policy. For example, while your school may define full-time as six hours during the summer, the financial aid office might use 12 hours as the full-time standard for all terms, including summer. You should check with your school's financial aid office for specific eligibility requirements.","federal-primary (priority 1)","",""
"M2-06","M2","Baseline-LLM","My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?","No. Parental refusal to pay does not make a student independent for Title IV purposes. Independence is determined by federal criteria including age, marital status, military service, and other factors — not by parental willingness to contribute.","No, your parents' refusal to help pay for college does not automatically make you considered independent for financial aid purposes. Independence for financial aid is determined by specific criteria set by the federal government, such as age, marital status, or having dependents, rather than your parents' willingness to contribute.","federal-primary (priority 1)","",""
"M2-06","M2","RAG-Standard","My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?","No. Parental refusal to pay does not make a student independent for Title IV purposes. Independence is determined by federal criteria including age, marital status, military service, and other factors — not by parental willingness to contribute.","No, parents refusing to contribute to the student’s education does not qualify as an unusual circumstance for determining independence for financial aid purposes. You would still be considered dependent and would need to include your parents' income and assets on the FAFSA.","federal-primary (priority 1)","",""
"M2-06","M2","RAG-AuthAware","My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?","No. Parental refusal to pay does not make a student independent for Title IV purposes. Independence is determined by federal criteria including age, marital status, military service, and other factors — not by parental willingness to contribute.","No, parents refusing to contribute to the student’s education does not qualify as an unusual circumstance for determining independence for financial aid purposes. You would still be considered dependent and required to include your parents' information on the FAFSA.","federal-primary (priority 1)","",""
"M2-07","M2","Baseline-LLM","What is the difference between a subsidized and an unsubsidized loan?","The government pays the interest on subsidized loans while the student is enrolled at least half-time; unsubsidized loans accrue interest from the time they are disbursed. Both have the same repayment terms otherwise. Eligibility for subsidized loans requires demonstrated financial need; unsubsidized loans are available regardless of need.","The context provided does not contain information about the difference between a subsidized and an unsubsidized loan. Therefore, I cannot answer that question.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-07","M2","RAG-Standard","What is the difference between a subsidized and an unsubsidized loan?","The government pays the interest on subsidized loans while the student is enrolled at least half-time; unsubsidized loans accrue interest from the time they are disbursed. Both have the same repayment terms otherwise. Eligibility for subsidized loans requires demonstrated financial need; unsubsidized loans are available regardless of need.","The main difference between a Direct Subsidized Loan and a Direct Unsubsidized Loan is that Direct Subsidized Loans are available only to undergraduate students with financial need, while Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without a requirement to demonstrate financial need.

Additionally, the U.S. Department of Education pays the interest on Direct Subsidized Loans while the borrower is in school at least half-time, during the first six months after leaving school (grace period), and during periods of deferment. In contrast, the borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-07","M2","RAG-AuthAware","What is the difference between a subsidized and an unsubsidized loan?","The government pays the interest on subsidized loans while the student is enrolled at least half-time; unsubsidized loans accrue interest from the time they are disbursed. Both have the same repayment terms otherwise. Eligibility for subsidized loans requires demonstrated financial need; unsubsidized loans are available regardless of need.","Direct Subsidized Loans are available to undergraduate students with financial need, and the U.S. Department of Education pays the interest on these loans while the student is in school at least half-time, during the grace period, and during deferment. 

In contrast, Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without the requirement to demonstrate financial need. The borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.","federal-consumer (priority 2) + federal-primary (priority 1)","",""
"M2-08","M2","Baseline-LLM","Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?","Yes. SAP has both a qualitative (GPA) and a quantitative (pace) standard. A student who passes fewer than 67% of attempted credits fails the pace standard and loses aid eligibility even if their GPA remains above 2.0.","The context does not provide specific information about losing financial aid due to failing classes while maintaining a GPA above 2.0. Therefore, I cannot answer your question based on the provided information.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M2-08","M2","RAG-Standard","Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?","Yes. SAP has both a qualitative (GPA) and a quantitative (pace) standard. A student who passes fewer than 67% of attempted credits fails the pace standard and loses aid eligibility even if their GPA remains above 2.0.","Yes, you can lose your financial aid for failing too many classes even if your GPA is still above 2.0. For example, at the University of Washington, students must complete a minimum of 80% of the cumulative credits attempted. If you do not meet this requirement, you may no longer be eligible for financial aid, regardless of your GPA.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M2-08","M2","RAG-AuthAware","Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?","Yes. SAP has both a qualitative (GPA) and a quantitative (pace) standard. A student who passes fewer than 67% of attempted credits fails the pace standard and loses aid eligibility even if their GPA remains above 2.0.","Yes, you can lose your financial aid for failing too many classes even if your GPA is still above 2.0. For example, at the University of Washington, students must complete a minimum of 80% of the cumulative credits attempted. If you do not meet this requirement, you may no longer be eligible for financial aid, regardless of your GPA.","federal-primary (priority 1) + federal-consumer (priority 2)","",""
"M2-09","M2","Baseline-LLM","Does my financial aid get affected if I change my major?","Changing a major does not directly affect federal aid eligibility, but it can affect the maximum timeframe standard. Students must complete their program within 150% of the published program length. A major change that adds required credits may push a student closer to the 150% limit.","The context does not provide information about how changing your major affects financial aid. Therefore, I cannot answer your question.","federal-primary (priority 1)","",""
"M2-09","M2","RAG-Standard","Does my financial aid get affected if I change my major?","Changing a major does not directly affect federal aid eligibility, but it can affect the maximum timeframe standard. Students must complete their program within 150% of the published program length. A major change that adds required credits may push a student closer to the 150% limit.","The provided context does not contain information regarding the impact of changing a major on financial aid. Therefore, I cannot answer your question based on the available information.","federal-primary (priority 1)","",""
