"run_id","question_id","category","condition","query","retrieved_chunk_ids","retrieved_authority_tags","retrieved_award_years","retrieved_documents","answer","faithfulness","prompt_tokens","completion_tokens","total_tokens","model_name","timestamp"
"11","C-04","C","RAG-Standard","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","chunk_001634 | chunk_001637 | chunk_001633 | chunk_000760 | chunk_001544","institutional | institutional | institutional | federal-primary | federal-outdated","N/A | N/A | N/A | 2025-26 | 2024-25","uw_sap.txt | uw_sap.txt | uw_sap.txt | vol7_ch2_202526.txt | vol7_ch2_202425.txt","The context does not provide specific information about a federal government-set maximum time limit for completing a degree to receive aid. It mentions that students must adhere to their school's policies regarding maximum timeframes for degree completion, but does not specify federal limits. Therefore, I cannot answer your question clearly based on the provided information.","0.6667","1470","62","1532","gpt-4o-mini-2024-07-18","2026-06-12T15:47:17.743772+00:00"
"12","C-04","C","RAG-AuthAware","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","chunk_000760 | chunk_001634 | chunk_001637 | chunk_001633 | chunk_001544","federal-primary | institutional | institutional | institutional | federal-outdated","2025-26 | N/A | N/A | N/A | 2024-25","vol7_ch2_202526.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt | vol7_ch2_202425.txt","The context does not provide specific information about a federal government-set maximum time limit for completing a degree to remain eligible for financial aid. It mentions that schools must apply their own standards consistently, but does not specify federal limits. Therefore, I cannot answer your question based on the provided information.","0.6667","1470","57","1527","gpt-4o-mini-2024-07-18","2026-06-12T15:47:22.662598+00:00"
"13","C-05","C","Baseline-LLM","My school told me I need a 2.0 GPA to keep my aid — but the financial aid page says something different than what an advisor told me. Which one is right?","","","","","I cannot determine which information is correct based on the context provided. You should clarify with your school or financial aid office to resolve the discrepancy between the GPA requirement mentioned by your advisor and what is stated on the financial aid page.","0.0","88","45","133","gpt-4o-mini-2024-07-18","2026-06-12T15:47:23.800083+00:00"
"14","C-05","C","RAG-Standard","My school told me I need a 2.0 GPA to keep my aid — but the financial aid page says something different than what an advisor told me. Which one is right?","chunk_001633 | chunk_001148 | chunk_000166 | chunk_000935 | chunk_000160","institutional | federal-outdated | federal-primary | federal-outdated | federal-primary","N/A | 2024-25 | 2025-26 | 2024-25 | 2025-26","uw_sap.txt | vol2_ch3_202425.txt | vol1_ch1_202526.txt | avg_intro_202425.txt | avg_intro_202526.txt","According to the context provided, to remain eligible for financial aid at the University of Washington, undergraduate students must maintain at least a 2.0 cumulative GPA as measured at the end of spring quarter. Therefore, if your school is stating that you need a 2.0 GPA to keep your aid, that aligns with the information from the financial aid page. The advisor's information should also be consistent with this requirement. If there is a discrepancy, it may be best to clarify with the financial aid office directly.","0.6","1945","103","2048","gpt-4o-mini-2024-07-18","2026-06-12T15:47:31.259370+00:00"
"15","C-05","C","RAG-AuthAware","My school told me I need a 2.0 GPA to keep my aid — but the financial aid page says something different than what an advisor told me. Which one is right?","chunk_000166 | chunk_000160 | chunk_001633 | chunk_001148 | chunk_000935","federal-primary | federal-primary | institutional | federal-outdated | federal-outdated","2025-26 | 2025-26 | N/A | 2024-25 | 2024-25","vol1_ch1_202526.txt | avg_intro_202526.txt | uw_sap.txt | vol2_ch3_202425.txt | avg_intro_202425.txt","The information provided does not contain enough details about the specific requirements from your school or the financial aid page you are referring to. It is best to consult directly with your school's financial aid office for clarification on the GPA requirements and to resolve any discrepancies.","0.25","1945","49","1994","gpt-4o-mini-2024-07-18","2026-06-12T15:47:36.481544+00:00"
"16","M2-01","M2","Baseline-LLM","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","","","","","No, if you take out a subsidized loan, you do not have to pay interest while you are still in school. The government pays the interest on subsidized loans while you are enrolled at least half-time.","0.0","72","43","115","gpt-4o-mini-2024-07-18","2026-06-12T15:34:23.384805+00:00"
"17","M2-01","M2","RAG-Standard","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","chunk_001605 | chunk_001604 | chunk_001255 | chunk_000469 | chunk_000506","federal-consumer | federal-consumer | federal-outdated | federal-primary | federal-primary","2025-26 | 2025-26 | 2024-25 | 2025-26 | 2025-26","subsidized_loans.txt | subsidized_loans.txt | vol3_ch1_202425.txt | vol3_ch1_202526.txt | vol3_ch3_202526.txt","No, you do not have to pay interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.","0.25","2030","57","2087","gpt-4o-mini-2024-07-18","2026-06-12T15:34:28.697688+00:00"
"18","M2-01","M2","RAG-AuthAware","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","chunk_000469 | chunk_000506 | chunk_001605 | chunk_001604 | chunk_001255","federal-primary | federal-primary | federal-consumer | federal-consumer | federal-outdated","2025-26 | 2025-26 | 2025-26 | 2025-26 | 2024-25","vol3_ch1_202526.txt | vol3_ch3_202526.txt | subsidized_loans.txt | subsidized_loans.txt | vol3_ch1_202425.txt","No, you do not have to pay the interest on a Direct Subsidized Loan while you are in school at least half-time, during the first six months after you leave school, and during a period of deferment. The U.S. Department of Education pays the interest during these times.","0.75","2030","58","2088","gpt-4o-mini-2024-07-18","2026-06-12T15:34:36.733764+00:00"
"19","M2-02","M2","Baseline-LLM","Can I get a Pell Grant and a Work-Study job at the same time?","","","","","Yes, you can receive a Pell Grant and have a Work-Study job at the same time.","0.0","68","20","88","gpt-4o-mini-2024-07-18","2026-06-12T15:34:37.668556+00:00"
"20","M2-02","M2","RAG-Standard","Can I get a Pell Grant and a Work-Study job at the same time?","chunk_000743 | chunk_001527 | chunk_001222 | chunk_000436 | chunk_001601","federal-primary | federal-outdated | federal-outdated | federal-primary | federal-consumer","2025-26 | 2024-25 | 2024-25 | 2025-26 | 2025-26","vol7_ch1_202526.txt | vol7_ch1_202425.txt | vol3_ch1_202425.txt | vol3_ch1_202526.txt | pell_grant.txt","The context does not provide information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the provided information.","1.0","1454","35","1489","gpt-4o-mini-2024-07-18","2026-06-12T15:34:39.354699+00:00"
"21","M2-02","M2","RAG-AuthAware","Can I get a Pell Grant and a Work-Study job at the same time?","chunk_000743 | chunk_000436 | chunk_001601 | chunk_001527 | chunk_001222","federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated","2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25","vol7_ch1_202526.txt | vol3_ch1_202526.txt | pell_grant.txt | vol7_ch1_202425.txt | vol3_ch1_202425.txt","The context provided does not contain information about the ability to receive a Pell Grant and a Work-Study job simultaneously. Therefore, I cannot answer your question based on the information available.","1.0","1454","36","1490","gpt-4o-mini-2024-07-18","2026-06-12T15:34:40.927338+00:00"
"22","M2-03","M2","Baseline-LLM","I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?","","","","","Yes, attending school half-time instead of full-time can affect the amount of Pell Grant you receive. Pell Grants are awarded based on your enrollment status, and typically, full-time students receive a larger amount than half-time students.","0.0","72","45","117","gpt-4o-mini-2024-07-18","2026-06-12T15:34:42.364636+00:00"
"23","M2-03","M2","RAG-Standard","I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?","chunk_001600 | chunk_001546 | chunk_000764 | chunk_001548 | chunk_000773","federal-consumer | federal-outdated | federal-primary | federal-outdated | federal-primary","2025-26 | 2024-25 | 2025-26 | 2024-25 | 2025-26","pell_grant.txt | vol7_ch3_202425.txt | vol7_ch3_202526.txt | vol7_ch3_202425.txt | vol7_ch3_202526.txt","Yes, attending school half-time instead of full-time will affect the amount of your Pell Grant. The Scheduled Award for a less-than-half-time student is capped at a lower amount compared to full-time enrollment. For example, if your Pell Grant amount is $7,500 as a full-time student, it may be capped at $3,500 if you are enrolled less than half-time.","1.0","2021","78","2099","gpt-4o-mini-2024-07-18","2026-06-12T15:34:47.902862+00:00"
"24","M2-03","M2","RAG-AuthAware","I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?","chunk_000764 | chunk_000773 | chunk_001600 | chunk_001546 | chunk_001548","federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated","2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25","vol7_ch3_202526.txt | vol7_ch3_202526.txt | pell_grant.txt | vol7_ch3_202425.txt | vol7_ch3_202425.txt","Yes, attending school half-time instead of full-time will affect the amount of your Pell Grant. The Scheduled Award for a less-than-half-time student is capped at a lower amount compared to a full-time student. For example, if the cost of attendance (COA) for less-than-half-time is less than the maximum Pell Grant amount, your award will be limited to that lower COA amount.","1.0","2021","80","2101","gpt-4o-mini-2024-07-18","2026-06-12T15:34:54.395372+00:00"
"25","M2-04","M2","Baseline-LLM","If I transfer to a different school, do I have to reapply for financial aid?","","","","","Yes, if you transfer to a different school, you will need to reapply for financial aid.","0.0","69","20","89","gpt-4o-mini-2024-07-18","2026-06-12T15:34:55.187819+00:00"
"26","M2-04","M2","RAG-Standard","If I transfer to a different school, do I have to reapply for financial aid?","chunk_001603 | chunk_001421 | chunk_001399 | chunk_000166 | chunk_001424","federal-consumer | federal-outdated | federal-outdated | federal-primary | federal-outdated","2025-26 | 2024-25 | 2024-25 | 2025-26 | 2024-25","sap_consumer.txt | vol6_ch1_202425.txt | vol5_intro_202425.txt | vol1_ch1_202526.txt | vol6_ch1_202425.txt","The context does not provide information about transferring to a different school and whether you need to reapply for financial aid. Therefore, I cannot answer that question clearly.","1.0","1645","32","1677","gpt-4o-mini-2024-07-18","2026-06-12T15:34:56.592320+00:00"
"27","M2-04","M2","RAG-AuthAware","If I transfer to a different school, do I have to reapply for financial aid?","chunk_000166 | chunk_001603 | chunk_001421 | chunk_001399 | chunk_001424","federal-primary | federal-consumer | federal-outdated | federal-outdated | federal-outdated","2025-26 | 2025-26 | 2024-25 | 2024-25 | 2024-25","vol1_ch1_202526.txt | sap_consumer.txt | vol6_ch1_202425.txt | vol5_intro_202425.txt | vol6_ch1_202425.txt","The context does not provide specific information about transferring to a different school and whether you need to reapply for financial aid. Therefore, I cannot answer that question clearly.","1.0","1645","33","1678","gpt-4o-mini-2024-07-18","2026-06-12T15:34:58.167327+00:00"
"28","M2-05","M2","Baseline-LLM","Can I get financial aid for summer classes?","","","","","The context does not provide information about financial aid for summer classes. Therefore, I cannot answer your question.","0.0","60","21","81","gpt-4o-mini-2024-07-18","2026-06-12T15:34:59.437072+00:00"
"29","M2-05","M2","RAG-Standard","Can I get financial aid for summer classes?","chunk_001544 | chunk_000760 | chunk_001633 | chunk_000166 | chunk_001299","federal-outdated | federal-primary | institutional | federal-primary | federal-outdated","2024-25 | 2025-26 | N/A | 2025-26 | 2024-25","vol7_ch2_202425.txt | vol7_ch2_202526.txt | uw_sap.txt | vol1_ch1_202526.txt | vol3_ch3_202425.txt","Yes, you can get financial aid for summer classes, but it depends on your school's financial aid office's full-time enrollment standards. For example, while your school's academic policy may define full-time as six hours during the summer, the financial aid office may use 12 hours as the full-time standard for all terms, including the summer term. You should check with your school's financial aid office for specific eligibility requirements.","1.0","1510","82","1592","gpt-4o-mini-2024-07-18","2026-06-12T15:35:07.528252+00:00"
"30","M2-05","M2","RAG-AuthAware","Can I get financial aid for summer classes?","chunk_000760 | chunk_000166 | chunk_001633 | chunk_001544 | chunk_001299","federal-primary | federal-primary | institutional | federal-outdated | federal-outdated","2025-26 | 2025-26 | N/A | 2024-25 | 2024-25","vol7_ch2_202526.txt | vol1_ch1_202526.txt | uw_sap.txt | vol7_ch2_202425.txt | vol3_ch3_202425.txt","Yes, you can get financial aid for summer classes, but it depends on your school's enrollment standards. For Title IV purposes, your school's financial aid office may have a different full-time enrollment standard for summer classes compared to the academic policy. For example, while your school may define full-time as six hours during the summer, the financial aid office might use 12 hours as the full-time standard for all terms, including summer. You should check with your school's financial aid office for specific eligibility requirements.","1.0","1510","99","1609","gpt-4o-mini-2024-07-18","2026-06-12T15:35:17.496790+00:00"
"31","M2-06","M2","Baseline-LLM","My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?","","","","","No, your parents' refusal to help pay for college does not automatically make you considered independent for financial aid purposes. Independence for financial aid is determined by specific criteria set by the federal government, such as age, marital status, or having dependents, rather than your parents' willingness to contribute.","0.0","70","59","129","gpt-4o-mini-2024-07-18","2026-06-12T15:40:37.674651+00:00"
"32","M2-06","M2","RAG-Standard","My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?","chunk_000807 | chunk_001201 | chunk_000922 | chunk_000420 | chunk_000857","federal-outdated | federal-outdated | federal-outdated | federal-primary | federal-outdated","2024-25 | 2024-25 | 2024-25 | 2025-26 | 2024-25","avg_ch2_202425.txt | vol2_intro_202425.txt | avg_ch5_202425.txt | vol2_intro_202526.txt | avg_ch3_202425.txt","No, parents refusing to contribute to the student’s education does not qualify as an unusual circumstance for determining independence for financial aid purposes. You would still be considered dependent and would need to include your parents' income and assets on the FAFSA.","1.0","2059","47","2106","gpt-4o-mini-2024-07-18","2026-06-12T15:40:44.376908+00:00"
"33","M2-06","M2","RAG-AuthAware","My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?","chunk_000420 | chunk_000807 | chunk_001201 | chunk_000922 | chunk_000857","federal-primary | federal-outdated | federal-outdated | federal-outdated | federal-outdated","2025-26 | 2024-25 | 2024-25 | 2024-25 | 2024-25","vol2_intro_202526.txt | avg_ch2_202425.txt | vol2_intro_202425.txt | avg_ch5_202425.txt | avg_ch3_202425.txt","No, parents refusing to contribute to the student’s education does not qualify as an unusual circumstance for determining independence for financial aid purposes. You would still be considered dependent and required to include your parents' information on the FAFSA.","1.0","2059","44","2103","gpt-4o-mini-2024-07-18","2026-06-12T15:40:49.682664+00:00"
"34","M2-07","M2","Baseline-LLM","What is the difference between a subsidized and an unsubsidized loan?","","","","","The context provided does not contain information about the difference between a subsidized and an unsubsidized loan. Therefore, I cannot answer that question.","0.0","66","29","95","gpt-4o-mini-2024-07-18","2026-06-12T15:40:50.827624+00:00"
"35","M2-07","M2","RAG-Standard","What is the difference between a subsidized and an unsubsidized loan?","chunk_001604 | chunk_000510 | chunk_001297 | chunk_001292 | chunk_000506","federal-consumer | federal-primary | federal-outdated | federal-outdated | federal-primary","2025-26 | 2025-26 | 2024-25 | 2024-25 | 2025-26","subsidized_loans.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt | vol3_ch3_202526.txt","The main difference between a Direct Subsidized Loan and a Direct Unsubsidized Loan is that Direct Subsidized Loans are available only to undergraduate students with financial need, while Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without a requirement to demonstrate financial need.

Additionally, the U.S. Department of Education pays the interest on Direct Subsidized Loans while the borrower is in school at least half-time, during the first six months after leaving school (grace period), and during periods of deferment. In contrast, the borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.","1.0","2060","128","2188","gpt-4o-mini-2024-07-18","2026-06-12T15:41:01.269607+00:00"
"36","M2-07","M2","RAG-AuthAware","What is the difference between a subsidized and an unsubsidized loan?","chunk_000510 | chunk_000506 | chunk_001604 | chunk_001297 | chunk_001292","federal-primary | federal-primary | federal-consumer | federal-outdated | federal-outdated","2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25","vol3_ch3_202526.txt | vol3_ch3_202526.txt | subsidized_loans.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt","Direct Subsidized Loans are available to undergraduate students with financial need, and the U.S. Department of Education pays the interest on these loans while the student is in school at least half-time, during the grace period, and during deferment. 

In contrast, Direct Unsubsidized Loans are available to undergraduate, graduate, and professional students without the requirement to demonstrate financial need. The borrower is responsible for paying the interest on Direct Unsubsidized Loans during all periods.","1.0","2060","95","2155","gpt-4o-mini-2024-07-18","2026-06-12T15:41:12.508446+00:00"
"37","M2-08","M2","Baseline-LLM","Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?","","","","","The context does not provide specific information about losing financial aid due to failing classes while maintaining a GPA above 2.0. Therefore, I cannot answer your question based on the provided information.","0.0","74","38","112","gpt-4o-mini-2024-07-18","2026-06-12T15:41:13.606593+00:00"
"38","M2-08","M2","RAG-Standard","Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?","chunk_001632 | chunk_001633 | chunk_001634 | chunk_000204 | chunk_001637","institutional | institutional | institutional | federal-primary | institutional","N/A | N/A | N/A | 2025-26 | N/A","umich_sap.txt | uw_sap.txt | uw_sap.txt | vol1_ch1_202526.txt | uw_sap.txt","Yes, you can lose your financial aid for failing too many classes even if your GPA is still above 2.0. For example, at the University of Washington, students must complete a minimum of 80% of the cumulative credits attempted. If you do not meet this requirement, you may no longer be eligible for financial aid, regardless of your GPA.","1.0","1616","72","1688","gpt-4o-mini-2024-07-18","2026-06-12T15:41:19.132530+00:00"
"39","M2-08","M2","RAG-AuthAware","Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?","chunk_000204 | chunk_001632 | chunk_001633 | chunk_001634 | chunk_001637","federal-primary | institutional | institutional | institutional | institutional","2025-26 | N/A | N/A | N/A | N/A","vol1_ch1_202526.txt | umich_sap.txt | uw_sap.txt | uw_sap.txt | uw_sap.txt","Yes, you can lose your financial aid for failing too many classes even if your GPA is still above 2.0. For example, at the University of Washington, students must complete a minimum of 80% of the cumulative credits attempted. If you do not meet this requirement, you may no longer be eligible for financial aid, regardless of your GPA.","1.0","1616","72","1688","gpt-4o-mini-2024-07-18","2026-06-12T15:41:25.349522+00:00"
"40","M2-09","M2","Baseline-LLM","Does my financial aid get affected if I change my major?","","","","","The context does not provide information about how changing your major affects financial aid. Therefore, I cannot answer your question.","0.0","63","23","86","gpt-4o-mini-2024-07-18","2026-06-12T15:41:26.133032+00:00"
"41","M2-09","M2","RAG-Standard","Does my financial aid get affected if I change my major?","chunk_001399 | chunk_001520 | chunk_000615 | chunk_000904 | chunk_000164","federal-outdated | federal-outdated | federal-primary | federal-outdated | federal-primary","2024-25 | 2024-25 | 2025-26 | 2024-25 | 2025-26","vol5_intro_202425.txt | vol6_intro_202425.txt | vol5_intro_202526.txt | avg_ch4_202425.txt | fsa_handbook_202526_index.txt","The provided context does not contain information regarding the impact of changing a major on financial aid. Therefore, I cannot answer your question based on the available information.","1.0","1889","31","1920","gpt-4o-mini-2024-07-18","2026-06-12T15:41:32.217076+00:00"
"42","M2-09","M2","RAG-AuthAware","Does my financial aid get affected if I change my major?","chunk_000615 | chunk_000164 | chunk_001399 | chunk_001520 | chunk_000904","federal-primary | federal-primary | federal-outdated | federal-outdated | federal-outdated","2025-26 | 2025-26 | 2024-25 | 2024-25 | 2024-25","vol5_intro_202526.txt | fsa_handbook_202526_index.txt | vol5_intro_202425.txt | vol6_intro_202425.txt | avg_ch4_202425.txt","The context provided does not contain information regarding how changing a major affects financial aid. Therefore, I cannot answer your question based on the available information.","1.0","1889","29","1918","gpt-4o-mini-2024-07-18","2026-06-12T15:41:33.779537+00:00"
"43","M2-10","M2","Baseline-LLM","What happens to my financial aid if I take a semester off?","","","","","The context does not provide information about what happens to financial aid if you take a semester off.","0.0","64","19","83","gpt-4o-mini-2024-07-18","2026-06-12T15:41:34.387848+00:00"
"44","M2-10","M2","RAG-Standard","What happens to my financial aid if I take a semester off?","chunk_001632 | chunk_001399 | chunk_000534 | chunk_000999 | chunk_001325","institutional | federal-outdated | federal-primary | federal-outdated | federal-outdated","N/A | 2024-25 | 2025-26 | 2024-25 | 2024-25","umich_sap.txt | vol5_intro_202425.txt | vol5_ch1_202526.txt | vol1_ch1_202425.txt | vol5_ch1_202425.txt","The context does not provide specific information about what happens to financial aid if you take a semester off. Therefore, I cannot answer your question clearly based on the provided information.","1.0","1844","34","1878","gpt-4o-mini-2024-07-18","2026-06-12T15:41:36.029730+00:00"
"45","M2-10","M2","RAG-AuthAware","What happens to my financial aid if I take a semester off?","chunk_000534 | chunk_001632 | chunk_001399 | chunk_000999 | chunk_001325","federal-primary | institutional | federal-outdated | federal-outdated | federal-outdated","2025-26 | N/A | 2024-25 | 2024-25 | 2024-25","vol5_ch1_202526.txt | umich_sap.txt | vol5_intro_202425.txt | vol1_ch1_202425.txt | vol5_ch1_202425.txt","The context does not provide specific information about what happens to financial aid if a student takes a semester off. Therefore, I cannot answer your question clearly based on the provided information.","1.0","1844","35","1879","gpt-4o-mini-2024-07-18","2026-06-12T15:41:37.383294+00:00"
"46","M2-11","M2","Baseline-LLM","Can a graduate student get a Pell Grant?","","","","","No, graduate students are not eligible for Pell Grants. Pell Grants are typically awarded only to undergraduate students who demonstrate financial need.","0.0","60","25","85","gpt-4o-mini-2024-07-18","2026-06-12T15:41:38.390181+00:00"
"47","M2-11","M2","RAG-Standard","Can a graduate student get a Pell Grant?","chunk_000740 | chunk_001524 | chunk_001601 | chunk_001598 | chunk_000783","federal-primary | federal-outdated | federal-consumer | federal-consumer | federal-primary","2025-26 | 2024-25 | 2025-26 | 2025-26 | 2025-26","vol7_ch1_202526.txt | vol7_ch1_202425.txt | pell_grant.txt | pell_grant.txt | vol7_intro_202526.txt","No, a graduate student cannot get a Pell Grant. Pell Grants are generally awarded only to undergraduate students who have not earned a bachelor's, graduate, or professional degree.","1.0","1616","33","1649","gpt-4o-mini-2024-07-18","2026-06-12T15:41:44.839554+00:00"
"48","M2-11","M2","RAG-AuthAware","Can a graduate student get a Pell Grant?","chunk_000740 | chunk_000783 | chunk_001601 | chunk_001598 | chunk_001524","federal-primary | federal-primary | federal-consumer | federal-consumer | federal-outdated","2025-26 | 2025-26 | 2025-26 | 2025-26 | 2024-25","vol7_ch1_202526.txt | vol7_intro_202526.txt | pell_grant.txt | pell_grant.txt | vol7_ch1_202425.txt","No, a graduate student cannot get a Pell Grant. Pell Grants are usually awarded only to undergraduate students who have not earned a bachelor's, graduate, or professional degree.","1.0","1616","33","1649","gpt-4o-mini-2024-07-18","2026-06-12T15:41:50.370291+00:00"
"49","M2-12","M2","Baseline-LLM","How do I know if I qualify for a subsidized loan versus an unsubsidized loan?","","","","","The context does not provide specific information on how to determine qualification for subsidized versus unsubsidized loans. Therefore, I cannot answer your question based on the provided information.","0.0","70","34","104","gpt-4o-mini-2024-07-18","2026-06-12T15:41:51.265495+00:00"
