run_id,question_id,category,condition,query,retrieved_chunk_ids,retrieved_authority_tags,retrieved_award_years,retrieved_documents,answer,faithfulness,prompt_tokens,completion_tokens,total_tokens,model_name,timestamp
78,M2-11,M2,RAG-AuthAware,Can a graduate student get a Pell Grant?,chunk_000740 | chunk_000783 | chunk_001601 | chunk_001598 | chunk_001524,federal-primary | federal-primary | federal-consumer | federal-consumer | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2024-25,vol7_ch1_202526.txt | vol7_intro_202526.txt | pell_grant.txt | pell_grant.txt | vol7_ch1_202425.txt,"No, a graduate student cannot get a Pell Grant. Pell Grants are usually awarded only to undergraduate students who have not earned a bachelor's, graduate, or professional degree.",1.0,1616,33,1649,gpt-4o-mini-2024-07-18,2026-06-12T15:41:50.370291+00:00
79,M2-12,M2,Baseline-LLM,How do I know if I qualify for a subsidized loan versus an unsubsidized loan?,,,,,"The context does not provide specific information on how to determine qualification for subsidized versus unsubsidized loans. Therefore, I cannot answer your question based on the provided information.",0.0,70,34,104,gpt-4o-mini-2024-07-18,2026-06-12T15:41:51.265495+00:00
80,M2-12,M2,RAG-Standard,How do I know if I qualify for a subsidized loan versus an unsubsidized loan?,chunk_000510 | chunk_001287 | chunk_000501 | chunk_000507 | chunk_001293,federal-primary | federal-outdated | federal-primary | federal-primary | federal-outdated,2025-26 | 2024-25 | 2025-26 | 2025-26 | 2024-25,vol3_ch3_202526.txt | vol3_ch3_202425.txt | vol3_ch3_202526.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt,"To determine if you qualify for a Direct Subsidized Loan versus a Direct Unsubsidized Loan, your eligibility for a Direct Subsidized Loan is based on your financial need, which is calculated by subtracting your Student Aid Index (SAI) from your Cost of Attendance (COA). If you demonstrate financial need, you may qualify for a Direct Subsidized Loan. 

In contrast, eligibility for a Direct Unsubsidized Loan is not based on financial need; it is determined by subtracting other financial assistance (OFA) from the COA. Therefore, you can qualify for a Direct Unsubsidized Loan regardless of your financial need status. 

If you have received a determination of need for a Direct Subsidized Loan that is $200 or less, you may have the option to include that amount as part of a Direct Unsubsidized Loan instead of originating a separate Direct Subsidized Loan.",1.0,2059,183,2242,gpt-4o-mini-2024-07-18,2026-06-12T15:42:03.064937+00:00
81,M2-12,M2,RAG-AuthAware,How do I know if I qualify for a subsidized loan versus an unsubsidized loan?,chunk_000510 | chunk_000501 | chunk_000507 | chunk_001287 | chunk_001293,federal-primary | federal-primary | federal-primary | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2024-25 | 2024-25,vol3_ch3_202526.txt | vol3_ch3_202526.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt | vol3_ch3_202425.txt,"To determine if you qualify for a Direct Subsidized Loan versus a Direct Unsubsidized Loan, your school must first assess your financial need. This is typically done by calculating your Cost of Attendance (COA) and your Student Aid Index (SAI). 

1. **Direct Subsidized Loan**: You qualify for a Direct Subsidized Loan if you demonstrate financial need, which is calculated as COA minus your SAI. If you are eligible, the school will offer you this loan first.

2. **Direct Unsubsidized Loan**: If you do not qualify for a Direct Subsidized Loan, or if you have already received the maximum amount of a Direct Subsidized Loan, you may be eligible for a Direct Unsubsidized Loan. Eligibility for this loan is determined by subtracting any other financial aid (excluding the SAI) from the COA.

In summary, eligibility for a Direct Subsidized Loan is based on financial need, while eligibility for a Direct Unsubsidized Loan is based on the COA minus other financial assistance.",1.0,2059,214,2273,gpt-4o-mini-2024-07-18,2026-06-12T15:42:17.915347+00:00
82,M2-13,M2,Baseline-LLM,"If my family's financial situation gets worse after I submit my FAFSA, can I get more aid?",,,,,"The context does not provide information about what happens if your family's financial situation worsens after submitting the FAFSA. Therefore, I cannot answer your question.",0.0,70,29,99,gpt-4o-mini-2024-07-18,2026-06-12T15:42:18.937083+00:00
83,M2-13,M2,RAG-Standard,"If my family's financial situation gets worse after I submit my FAFSA, can I get more aid?",chunk_001613 | chunk_001603 | chunk_000001 | chunk_000143 | chunk_000922,professional | federal-consumer | federal-primary | federal-primary | federal-outdated,N/A | 2025-26 | 2025-26 | 2025-26 | 2024-25,nasfaa_about_financial_aid.txt | sap_consumer.txt | avg_ch1_202526.txt | avg_ch5_202526.txt | avg_ch5_202425.txt,"Yes, if your family's financial situation worsens after you submit your FAFSA, you may be able to request an adjustment for unusual circumstances. Financial aid administrators have the authority to exercise professional judgment in such cases, which could potentially lead to an increase in your financial aid. You will need to provide documentation to support your request.",1.0,1740,64,1804,gpt-4o-mini-2024-07-18,2026-06-12T15:42:24.469557+00:00
84,M2-13,M2,RAG-AuthAware,"If my family's financial situation gets worse after I submit my FAFSA, can I get more aid?",chunk_000001 | chunk_000143 | chunk_001603 | chunk_001613 | chunk_000922,federal-primary | federal-primary | federal-consumer | professional | federal-outdated,2025-26 | 2025-26 | 2025-26 | N/A | 2024-25,avg_ch1_202526.txt | avg_ch5_202526.txt | sap_consumer.txt | nasfaa_about_financial_aid.txt | avg_ch5_202425.txt,"Yes, if your family's financial situation worsens after you submit your FAFSA, you may be able to request an adjustment for unusual circumstances. Financial aid administrators have the authority to exercise professional judgment during such situations, which may allow for a reassessment of your financial aid eligibility. You will need to provide documentation to support your request.",1.0,1740,65,1805,gpt-4o-mini-2024-07-18,2026-06-12T15:42:30.401246+00:00
85,M2-14,M2,Baseline-LLM,Can I get financial aid if I already have a bachelor's degree and I'm going back for a second one?,,,,,"The context does not provide specific information about eligibility for financial aid for individuals pursuing a second bachelor's degree. Therefore, I cannot answer your question based on the provided information.",0.0,72,33,105,gpt-4o-mini-2024-07-18,2026-06-12T15:42:31.326503+00:00
86,M2-14,M2,RAG-Standard,Can I get financial aid if I already have a bachelor's degree and I'm going back for a second one?,chunk_000173 | chunk_000619 | chunk_001637 | chunk_001603 | chunk_000168,federal-primary | federal-primary | institutional | federal-consumer | federal-primary,2025-26 | 2025-26 | N/A | 2025-26 | 2025-26,vol1_ch1_202526.txt | vol6_ch1_202526.txt | uw_sap.txt | sap_consumer.txt | vol1_ch1_202526.txt,"Yes, you can receive Federal Work-Study (FWS) wages to pursue an additional undergraduate degree if you already have a bachelor's degree. However, you will not be eligible for Federal Supplemental Educational Opportunity Grants (FSEOG) since only undergraduate students who do not have a baccalaureate or first professional degree are eligible for FSEOG.",1.0,1629,70,1699,gpt-4o-mini-2024-07-18,2026-06-12T15:42:40.647920+00:00
87,M2-14,M2,RAG-AuthAware,Can I get financial aid if I already have a bachelor's degree and I'm going back for a second one?,chunk_000173 | chunk_000619 | chunk_000168 | chunk_001603 | chunk_001637,federal-primary | federal-primary | federal-primary | federal-consumer | institutional,2025-26 | 2025-26 | 2025-26 | 2025-26 | N/A,vol1_ch1_202526.txt | vol6_ch1_202526.txt | vol1_ch1_202526.txt | sap_consumer.txt | uw_sap.txt,"Yes, you can receive Federal Work-Study (FWS) wages to pursue an additional undergraduate degree if you already have a bachelor's degree. However, you are not eligible for Federal Supplemental Educational Opportunity Grants (FSEOG) since you have already earned a bachelor's or first professional degree.",1.0,1629,57,1686,gpt-4o-mini-2024-07-18,2026-06-12T15:42:45.049168+00:00
88,M2-15,M2,Baseline-LLM,Will getting married change how much financial aid I get?,,,,,"The context does not provide specific information about how getting married may affect financial aid. Therefore, I cannot answer your question.",0.0,62,24,86,gpt-4o-mini-2024-07-18,2026-06-12T15:42:45.812655+00:00
89,M2-15,M2,RAG-Standard,Will getting married change how much financial aid I get?,chunk_000143 | chunk_000903 | chunk_000023 | chunk_000092 | chunk_000127,federal-primary | federal-outdated | federal-primary | federal-primary | federal-primary,2025-26 | 2024-25 | 2025-26 | 2025-26 | 2025-26,avg_ch5_202526.txt | avg_ch4_202425.txt | avg_ch2_202526.txt | avg_ch3_202526.txt | avg_ch4_202526.txt,"Getting married can potentially change how much financial aid you receive, as your marital status affects your dependency status and the information reported on your FAFSA form. If you are a dependent student and your parent marries or remarries, you must update your family size to include the new stepparent, but you would not count the stepparent’s income and assets. If you are an independent student, your spouse's income and assets will be considered in determining your financial aid eligibility. However, the specific impact on your financial aid amount would depend on your overall financial situation and the calculations made by the financial aid administrator.",0.8571,1973,124,2097,gpt-4o-mini-2024-07-18,2026-06-12T15:42:58.567320+00:00
90,M2-15,M2,RAG-AuthAware,Will getting married change how much financial aid I get?,chunk_000143 | chunk_000023 | chunk_000092 | chunk_000127 | chunk_000903,federal-primary | federal-primary | federal-primary | federal-primary | federal-outdated,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2024-25,avg_ch5_202526.txt | avg_ch2_202526.txt | avg_ch3_202526.txt | avg_ch4_202526.txt | avg_ch4_202425.txt,"The context does not provide enough information to determine if getting married will change how much financial aid you receive. It mentions that marital status can affect dependency status and the information reported on the FAFSA, but it does not specify how this change would impact financial aid amounts.",0.75,1973,52,2025,gpt-4o-mini-2024-07-18,2026-06-12T15:43:05.021644+00:00
91,M3-01,M3,Baseline-LLM,"Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?",,,,,"Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. The specific amounts depend on your financial need, the cost of attendance at your school, and other factors. It's important to check with your school's financial aid office for details on the limits that apply to your situation.",0.0,86,80,166,gpt-4o-mini-2024-07-18,2026-06-12T15:43:06.482214+00:00
92,M3-01,M3,RAG-Standard,"Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?",chunk_001600 | chunk_001599 | chunk_000773 | chunk_001606 | chunk_001611,federal-consumer | federal-consumer | federal-primary | federal-consumer | federal-consumer,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2025-26,pell_grant.txt | pell_grant.txt | vol7_ch3_202526.txt | subsidized_loans.txt | work_study.txt,"Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. 

For the Pell Grant, the maximum award for the 2026–27 award year is $7,395, but the amount you receive will depend on various factors such as your Student Aid Index and cost of attendance. 

For Work-Study, your total award depends on when you apply, your level of financial need, and your school's funding level. 

For loans, there are aggregate limits based on your level of education (undergraduate or graduate) and whether you have received subsidized loans. If your total loan amount exceeds the aggregate limit for your level, you won't be eligible for additional loans.

It's important to consult your school's financial aid office for specific details regarding your eligibility and the total amounts you can receive.",0.875,1815,183,1998,gpt-4o-mini-2024-07-18,2026-06-12T15:43:18.127016+00:00
93,M3-01,M3,RAG-AuthAware,"Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?",chunk_000773 | chunk_001600 | chunk_001599 | chunk_001606 | chunk_001611,federal-primary | federal-consumer | federal-consumer | federal-consumer | federal-consumer,2025-26 | 2025-26 | 2025-26 | 2025-26 | 2025-26,vol7_ch3_202526.txt | pell_grant.txt | pell_grant.txt | subsidized_loans.txt | work_study.txt,"Yes, you can receive a Pell Grant, a Work-Study job, and a loan all at the same time. However, there are limits to how much you can receive in total. The amount of your Pell Grant will depend on your eligibility and the cost of attendance at your school. For loans, there are aggregate limits based on your level of education (undergraduate or graduate) and whether you have reached the lifetime loan limit. Additionally, your total work-study award will depend on your financial need and your school's funding level. It's important to consult your school's financial aid office for specific details regarding your eligibility and limits.",1.0,1815,124,1939,gpt-4o-mini-2024-07-18,2026-06-12T15:43:27.037713+00:00
94,M3-02,M3,Baseline-LLM,What happens to my loans and scholarship if I drop below half-time or withdraw from school?,,,,,"The context does not provide specific information about what happens to loans and scholarships if you drop below half-time or withdraw from school. Therefore, I cannot answer your question.",0.0,69,33,102,gpt-4o-mini-2024-07-18,2026-06-12T15:43:28.779315+00:00
95,M3-02,M3,RAG-Standard,What happens to my loans and scholarship if I drop below half-time or withdraw from school?,chunk_000602 | chunk_000603 | chunk_001387 | chunk_001386 | chunk_001325,federal-primary | federal-primary | federal-outdated | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2024-25 | 2024-25 | 2024-25,vol5_ch1_202526.txt | vol5_ch1_202526.txt | vol5_ch1_202425.txt | vol5_ch1_202425.txt | vol5_ch1_202425.txt,"The context provided does not contain specific information about the impact on scholarships if you drop below half-time or withdraw from school. However, it does explain that if you withdraw from a non-term credit-hour or clock-hour program and then re-enter the same program within 180 days, you may regain eligibility for Title IV aid, including loans, as if you had not ceased attendance. If you received a Direct Loan and withdraw but re-enroll before the grace period expires, you regain in-school status and will receive a full grace period upon graduation or ceasing half-time enrollment. 

For detailed information regarding scholarships, you would need to consult your school's financial aid office or the specific scholarship guidelines.",0.8,1792,137,1929,gpt-4o-mini-2024-07-18,2026-06-12T15:43:36.867563+00:00
96,M3-02,M3,RAG-AuthAware,What happens to my loans and scholarship if I drop below half-time or withdraw from school?,chunk_000602 | chunk_000603 | chunk_001387 | chunk_001386 | chunk_001325,federal-primary | federal-primary | federal-outdated | federal-outdated | federal-outdated,2025-26 | 2025-26 | 2024-25 | 2024-25 | 2024-25,vol5_ch1_202526.txt | vol5_ch1_202526.txt | vol5_ch1_202425.txt | vol5_ch1_202425.txt | vol5_ch1_202425.txt,"The context does not provide specific information about the impact on scholarships if you drop below half-time or withdraw from school. However, it does mention that if you withdraw from a program and then re-enter within 180 days, you may regain in-school status for Direct Loans if you enroll at least half-time before the grace period expires. Additionally, if you received a Direct Loan and withdraw after the first disbursement but before the second, the school must extend the loan period and reschedule the second disbursement, holding you to the same disbursement requirements as initially applied. 

For a complete understanding of how dropping below half-time or withdrawing affects your loans and scholarships, you may need to consult your school's financial aid office or the specific terms of your scholarship.",1.0,1792,153,1945,gpt-4o-mini-2024-07-18,2026-06-12T15:43:45.161766+00:00
97,M3-03,M3,Baseline-LLM,I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?,,,,,"If your parents do not file taxes, you can still complete the FAFSA. You will need to indicate that your parents did not file taxes on the form. In this case, you may be required to provide additional documentation to verify your family's income, such as a signed statement from your parents or other financial records. This situation may affect your eligibility for certain types of aid, but you can still apply for federal student aid. It's important to check with your school's financial aid office for specific guidance on how to proceed.",0.0,78,102,180,gpt-4o-mini-2024-07-18,2026-06-12T15:43:48.020597+00:00
98,M3-03,M3,RAG-Standard,I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?,chunk_000143 | chunk_000082 | chunk_000857 | chunk_000072 | chunk_001613,federal-primary | federal-primary | federal-outdated | federal-primary | professional,2025-26 | 2025-26 | 2024-25 | 2025-26 | N/A,avg_ch5_202526.txt | avg_ch3_202526.txt | avg_ch3_202425.txt | avg_ch2_202526.txt | nasfaa_about_financial_aid.txt,"The context does not provide specific information about how not filing taxes affects your FAFSA and financial aid eligibility. Therefore, I cannot answer your question clearly based on the provided information.",1.0,2006,34,2040,gpt-4o-mini-2024-07-18,2026-06-12T15:43:56.836267+00:00
99,M3-03,M3,RAG-AuthAware,I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?,chunk_000143 | chunk_000082 | chunk_000072 | chunk_001613 | chunk_000857,federal-primary | federal-primary | federal-primary | professional | federal-outdated,2025-26 | 2025-26 | 2025-26 | N/A | 2024-25,avg_ch5_202526.txt | avg_ch3_202526.txt | avg_ch2_202526.txt | nasfaa_about_financial_aid.txt | avg_ch3_202425.txt,"The context does not provide specific information about how not filing taxes affects your FAFSA and aid eligibility. Therefore, I cannot answer your question clearly based on the provided information.",1.0,2006,33,2039,gpt-4o-mini-2024-07-18,2026-06-12T15:43:58.473505+00:00
100,M3-04,M3,Baseline-LLM,Can I appeal if my financial aid gets cut off because of my grades?,,,,,"The context does not provide information about appealing financial aid decisions related to grades. Therefore, I cannot answer your question.",0.0,66,23,89,gpt-4o-mini-2024-07-18,2026-06-12T15:43:59.492092+00:00
101,M3-04,M3,RAG-Standard,Can I appeal if my financial aid gets cut off because of my grades?,chunk_001639 | chunk_001636 | chunk_001632 | chunk_000203 | chunk_000204,institutional | institutional | institutional | federal-primary | federal-primary,N/A | N/A | N/A | 2025-26 | 2025-26,uw_sap.txt | uw_sap.txt | umich_sap.txt | vol1_ch1_202526.txt | vol1_ch1_202526.txt,"Yes, you can appeal if your financial aid gets cut off because you did not meet the progress requirements due to special circumstances. You will need to demonstrate unusual circumstances beyond your control and explain what has changed in your situation. If your appeal is approved, you may need to meet the requirements of an individual academic plan to continue receiving financial aid.",1.0,1666,68,1734,gpt-4o-mini-2024-07-18,2026-06-12T15:44:08.918382+00:00
102,M3-04,M3,RAG-AuthAware,Can I appeal if my financial aid gets cut off because of my grades?,chunk_000203 | chunk_000204 | chunk_001639 | chunk_001636 | chunk_001632,federal-primary | federal-primary | institutional | institutional | institutional,2025-26 | 2025-26 | N/A | N/A | N/A,vol1_ch1_202526.txt | vol1_ch1_202526.txt | uw_sap.txt | uw_sap.txt | umich_sap.txt,"Yes, you can appeal if your financial aid gets cut off because of your grades. You will need to demonstrate unusual circumstances beyond your control that are not likely to recur in the immediate future and explain what has changed in your situation so that you will now be able to make academic progress. If your appeal is approved, you will need to meet the requirements of an individual academic plan to continue receiving financial aid.",1.0,1666,81,1747,gpt-4o-mini-2024-07-18,2026-06-12T15:44:15.050648+00:00
103,M3-05,M3,Baseline-LLM,How is the amount of my financial aid package decided — who decides what I get?,,,,,"The amount of your financial aid package is determined by the financial aid office at your school. They consider various factors, including your financial need, the cost of attendance, and the availability of funds.",0.0,68,39,107,gpt-4o-mini-2024-07-18,2026-06-12T15:44:15.911315+00:00
104,M3-05,M3,RAG-Standard,How is the amount of my financial aid package decided — who decides what I get?,chunk_001595 | chunk_000530 | chunk_001281 | chunk_000495 | chunk_001290,federal-consumer | federal-primary | federal-outdated | federal-primary | federal-outdated,2025-26 | 2025-26 | 2024-25 | 2025-26 | 2024-25,how_aid_calculated.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt | vol3_ch3_202526.txt | vol3_ch3_202425.txt,The financial aid office at your college or career school determines how much aid you are eligible to receive. They start by calculating your cost of attendance (COA) and then review your Student Aid Index (SAI). They subtract your SAI from your COA to determine your financial need and how much need-based aid you can receive.,1.0,1846,67,1913,gpt-4o-mini-2024-07-18,2026-06-12T15:44:23.147983+00:00
