"question_id","category","question_text","ground_truth_answer","source_documents","section_reference","source_priority_note","contradiction_notes","old_answer_2425","new_answer_2526","chunk_ids_top5"
"S-11","S","What happens to my financial aid if I repeat a class I already passed?","A student may receive Title IV aid for one repetition of a previously passed course. Aid cannot be paid for a second or subsequent repetition of a course the student passed.","vol1_ch1_202526.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — Repeated coursework policy","federal-primary (priority 1)","","","","chunk_001632 (umich_sap.txt) | chunk_000989 (vol1_ch1_202425.txt) | chunk_000213 (vol1_ch1_202526.txt) | chunk_000999 (vol1_ch1_202425.txt) | chunk_000168 (vol1_ch1_202526.txt)"
"S-12","S","Can I get federal financial aid if I owe money on a previous federal loan that I haven't paid back?","Students who are in default on a federal student loan are not eligible for additional Title IV federal student aid until the default is resolved.","vol1_ch3_202526.txt","FSA Handbook 2025-26 Vol. 1 Ch. 3 — NSLDS financial aid history and default status","federal-primary (priority 1)","","","","chunk_000289 (vol1_ch3_202526.txt) | chunk_001064 (vol1_ch3_202425.txt) | chunk_001632 (umich_sap.txt) | chunk_001603 (sap_consumer.txt) | chunk_001065 (vol1_ch3_202425.txt)"
"S-13","S","How long do I have after I graduate before I have to start paying back my federal loans?","For most federal student loan types you have a six-month grace period after you graduate, leave school, or drop below half-time enrollment before you must begin making payments.","subsidized_loans.txt","studentaid.gov — Subsidized and unsubsidized loans grace period","federal-consumer (priority 2)","","","","chunk_001602 (sap_consumer.txt) | chunk_001606 (subsidized_loans.txt) | chunk_001608 (subsidized_loans.txt) | chunk_001634 (uw_sap.txt) | chunk_001605 (subsidized_loans.txt)"
"S-14","S","What is Federal Work-Study?","Federal Work-Study provides part-time jobs for undergraduate and graduate students with financial need, allowing them to earn money to help pay education expenses. The program encourages community service work and work related to the student's course of study.","work_study.txt","studentaid.gov — Work-Study overview","federal-consumer (priority 2)","","","","chunk_001610 (work_study.txt) | chunk_001453 (vol6_ch2_202425.txt) | chunk_000669 (vol6_ch2_202526.txt) | chunk_001465 (vol6_ch2_202425.txt) | chunk_001520 (vol6_intro_202425.txt)"
"S-15","S","Does getting a scholarship affect how much federal aid I can receive?","Outside scholarships may reduce a student's financial need and therefore reduce need-based aid. Schools are required to adjust a student's aid package if total aid including outside scholarships exceeds the student's Cost of Attendance or financial need.","vol3_ch3_202526.txt","FSA Handbook 2025-26 Vol. 3 Ch. 3 — Packaging and outside scholarships","federal-primary (priority 1)","","","","chunk_001597 (how_aid_calculated.txt) | chunk_001288 (vol3_ch3_202425.txt) | chunk_000502 (vol3_ch3_202526.txt) | chunk_001599 (pell_grant.txt) | chunk_001613 (nasfaa_about_financial_aid.txt)"
"M2-01","M2","If I take out a subsidized loan, do I have to pay interest while I'm still in school?","No. The federal government pays the interest on Direct Subsidized Loans while the student is enrolled at least half-time. Interest does not accrue during this period.","subsidized_loans.txt + vol3_ch1_202526.txt","studentaid.gov loan types + FSA Handbook 2025-26 Vol. 3 Ch. 1 — interest provisions","federal-consumer (priority 2) + federal-primary (priority 1)","","","","chunk_001605 (subsidized_loans.txt) | chunk_001604 (subsidized_loans.txt) | chunk_001255 (vol3_ch1_202425.txt) | chunk_000469 (vol3_ch1_202526.txt) | chunk_000506 (vol3_ch3_202526.txt)"
"M2-02","M2","Can I get a Pell Grant and a Work-Study job at the same time?","Yes. Pell Grants and Federal Work-Study are separate programs and can both be awarded in the same aid package. Total aid cannot exceed the student's Cost of Attendance.","pell_grant.txt + work_study.txt","studentaid.gov Pell Grant overview + Work-Study overview","federal-consumer (priority 2) — two documents required","","","","chunk_000743 (vol7_ch1_202526.txt) | chunk_001527 (vol7_ch1_202425.txt) | chunk_001222 (vol3_ch1_202425.txt) | chunk_000436 (vol3_ch1_202526.txt) | chunk_001601 (pell_grant.txt)"
"M2-03","M2","I'm going to school half-time instead of full-time — does that change how much Pell Grant I get?","Yes. Pell Grant awards are adjusted based on enrollment intensity. A half-time student receives a proportionally reduced Pell Grant compared to a full-time student. The exact amount depends on the enrollment intensity percentage applied to the student's full-time award.","vol7_ch3_202526.txt + avg_ch3_202526.txt","FSA Handbook 2025-26 Vol. 7 Ch. 3 — enrollment intensity + Vol. AVG Ch. 3 — SAI and Pell eligibility","federal-primary (priority 1)","","","","chunk_001600 (pell_grant.txt) | chunk_001546 (vol7_ch3_202425.txt) | chunk_000764 (vol7_ch3_202526.txt) | chunk_001548 (vol7_ch3_202425.txt) | chunk_000773 (vol7_ch3_202526.txt)"
"M2-04","M2","If I transfer to a different school, do I have to reapply for financial aid?","Yes. Financial aid does not automatically transfer between schools. You must update your FAFSA to list the new school and the new institution will determine your aid eligibility based on its own Cost of Attendance and policies.","avg_ch1_202526.txt + avg_ch2_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 1 — application process + Ch. 2 — updating FAFSA","federal-primary (priority 1)","","","","chunk_001603 (sap_consumer.txt) | chunk_001421 (vol6_ch1_202425.txt) | chunk_001399 (vol5_intro_202425.txt) | chunk_000166 (vol1_ch1_202526.txt) | chunk_001424 (vol6_ch1_202425.txt)"
"M2-05","M2","Can I get financial aid for summer classes?","Yes. Pell Grants can be awarded for summer enrollment if the student has remaining LEU and the school has a summer aid program. Direct Loans may also be available for summer if annual limits have not been reached. Summer aid depends on the school's academic calendar structure.","vol7_ch3_202526.txt + vol3_ch1_202526.txt","FSA Handbook 2025-26 Vol. 7 Ch. 3 — Pell enrollment intensity + Vol. 3 Ch. 1 — academic year and payment periods","federal-primary (priority 1)","","","","chunk_001544 (vol7_ch2_202425.txt) | chunk_000760 (vol7_ch2_202526.txt) | chunk_001633 (uw_sap.txt) | chunk_000166 (vol1_ch1_202526.txt) | chunk_001299 (vol3_ch3_202425.txt)"
"M2-06","M2","My parents refuse to help pay for college — does that mean I'm considered independent for financial aid?","No. Parental refusal to pay does not make a student independent for Title IV purposes. Independence is determined by federal criteria including age, marital status, military service, and other factors — not by parental willingness to contribute.","avg_ch2_202526.txt + avg_ch5_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — dependency questions on FAFSA + Ch. 5 — special cases, dependency overrides","federal-primary (priority 1)","","","","chunk_000807 (avg_ch2_202425.txt) | chunk_001201 (vol2_intro_202425.txt) | chunk_000922 (avg_ch5_202425.txt) | chunk_000420 (vol2_intro_202526.txt) | chunk_000082 (avg_ch3_202526.txt)"
"M2-07","M2","What is the difference between a subsidized and an unsubsidized loan?","The government pays the interest on subsidized loans while the student is enrolled at least half-time; unsubsidized loans accrue interest from the time they are disbursed. Both have the same repayment terms otherwise. Eligibility for subsidized loans requires demonstrated financial need; unsubsidized loans are available regardless of need.","subsidized_loans.txt + vol3_ch3_202526.txt","studentaid.gov — subsidized/unsubsidized loan comparison + FSA Handbook 2025-26 Vol. 3 Ch. 3 — need-based vs non-need-based packaging","federal-consumer (priority 2) + federal-primary (priority 1)","","","","chunk_001604 (subsidized_loans.txt) | chunk_000510 (vol3_ch3_202526.txt) | chunk_001297 (vol3_ch3_202425.txt) | chunk_001292 (vol3_ch3_202425.txt) | chunk_000506 (vol3_ch3_202526.txt)"
"M2-08","M2","Can I lose my financial aid for failing too many classes even if my GPA is still above 2.0?","Yes. SAP has both a qualitative (GPA) and a quantitative (pace) standard. A student who passes fewer than 67% of attempted credits fails the pace standard and loses aid eligibility even if their GPA remains above 2.0.","vol1_ch1_202526.txt + sap_consumer.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP quantitative pace standard + studentaid.gov SAP consumer page","federal-primary (priority 1) + federal-consumer (priority 2)","","","","chunk_001632 (umich_sap.txt) | chunk_001633 (uw_sap.txt) | chunk_001634 (uw_sap.txt) | chunk_000204 (vol1_ch1_202526.txt) | chunk_001637 (uw_sap.txt)"
"M2-09","M2","Does my financial aid get affected if I change my major?","Changing a major does not directly affect federal aid eligibility, but it can affect the maximum timeframe standard. Students must complete their program within 150% of the published program length. A major change that adds required credits may push a student closer to the 150% limit.","vol1_ch1_202526.txt + avg_ch2_202526.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP maximum timeframe + Vol. AVG Ch. 2 — enrollment reporting","federal-primary (priority 1)","","","","chunk_001399 (vol5_intro_202425.txt) | chunk_001520 (vol6_intro_202425.txt) | chunk_000615 (vol5_intro_202526.txt) | chunk_000904 (avg_ch4_202425.txt) | chunk_000165 (fsa_handbook_2526_index.txt)"
"M2-10","M2","What happens to my financial aid if I take a semester off?","Taking a leave of absence may trigger the grace period on federal loans and affect SAP status depending on how the institution counts the leave. Pell Grant eligibility resumes when the student re-enrolls. The student must re-establish eligibility if they were placed on SAP suspension.","vol1_ch1_202526.txt + subsidized_loans.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP and leaves of absence + studentaid.gov — loan grace period","federal-primary (priority 1) + federal-consumer (priority 2)","","","","chunk_001632 (umich_sap.txt) | chunk_001399 (vol5_intro_202425.txt) | chunk_000534 (vol5_ch1_202526.txt) | chunk_000999 (vol1_ch1_202425.txt) | chunk_001325 (vol5_ch1_202425.txt)"
"M2-11","M2","Can a graduate student get a Pell Grant?","No. Federal Pell Grants are available only to undergraduate students who have not yet earned a bachelor's or professional degree. Graduate students are not eligible.","pell_grant.txt + vol7_ch1_202526.txt","studentaid.gov Pell Grant overview + FSA Handbook 2025-26 Vol. 7 Ch. 1 — Pell Grant student eligibility","federal-consumer (priority 2) + federal-primary (priority 1)","","","","chunk_000740 (vol7_ch1_202526.txt) | chunk_001524 (vol7_ch1_202425.txt) | chunk_001601 (pell_grant.txt) | chunk_001598 (pell_grant.txt) | chunk_000783 (vol7_intro_202526.txt)"
"M2-12","M2","How do I know if I qualify for a subsidized loan versus an unsubsidized loan?","Subsidized loan eligibility requires demonstrated financial need (COA minus SAI greater than zero) and enrollment at least half-time. Unsubsidized loans are available to eligible students regardless of financial need. Both require the student to be enrolled at least half-time in a degree or certificate program.","subsidized_loans.txt + avg_ch3_202526.txt","studentaid.gov — subsidized loans + FSA Handbook 2025-26 Vol. AVG Ch. 3 — SAI and need determination","federal-consumer (priority 2) + federal-primary (priority 1)","","","","chunk_000510 (vol3_ch3_202526.txt) | chunk_001287 (vol3_ch3_202425.txt) | chunk_000501 (vol3_ch3_202526.txt) | chunk_000507 (vol3_ch3_202526.txt) | chunk_001293 (vol3_ch3_202425.txt)"
"M2-13","M2","If my family's financial situation gets worse after I submit my FAFSA, can I get more aid?","Yes. Students or families who experience significant changes in financial circumstances after filing the FAFSA can contact their school's financial aid office to request a professional judgment review. The aid administrator may adjust the SAI or Cost of Attendance based on documented special circumstances.","avg_ch5_202526.txt + avg_ch2_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 5 — special circumstances + Ch. 2 — FAFSA corrections and updates","federal-primary (priority 1)","","","","chunk_001613 (nasfaa_about_financial_aid.txt) | chunk_001603 (sap_consumer.txt) | chunk_000001 (avg_ch1_202526.txt) | chunk_000143 (avg_ch5_202526.txt) | chunk_000922 (avg_ch5_202425.txt)"
"M2-14","M2","Can I get financial aid if I already have a bachelor's degree and I'm going back for a second one?","Generally no for Pell Grants — Pell Grant eligibility ends once a student has earned a bachelor's degree. Direct Loans may still be available depending on aggregate limits and program eligibility. Work-Study may also be available.","pell_grant.txt + vol7_ch1_202526.txt","studentaid.gov Pell Grant overview + FSA Handbook 2025-26 Vol. 7 Ch. 1 — Pell eligibility and prior degrees","federal-consumer (priority 2) + federal-primary (priority 1)","","","","chunk_000173 (vol1_ch1_202526.txt) | chunk_000619 (vol6_ch1_202526.txt) | chunk_001637 (uw_sap.txt) | chunk_001603 (sap_consumer.txt) | chunk_000168 (vol1_ch1_202526.txt)"
"M2-15","M2","Will getting married change how much financial aid I get?","Yes, for independent students. Marriage changes dependency status — a married student is considered independent regardless of age. This means parental income is no longer included in the SAI calculation, which can significantly change aid eligibility.","avg_ch2_202526.txt + avg_ch3_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — FAFSA dependency questions + Ch. 3 — SAI calculation for independent students","federal-primary (priority 1)","","","","chunk_000143 (avg_ch5_202526.txt) | chunk_000903 (avg_ch4_202425.txt) | chunk_000023 (avg_ch2_202526.txt) | chunk_000092 (avg_ch3_202526.txt) | chunk_000127 (avg_ch4_202526.txt)"
"M3-01","M3","Can I get a Pell Grant, a Work-Study job, and a loan all at the same time — and is there a limit to how much I can get total?","Yes. All three can be awarded simultaneously. Total need-based aid cannot exceed the student's financial need (COA minus SAI). Total aid from all sources cannot exceed the Cost of Attendance.","vol3_ch3_202526.txt + pell_grant.txt + work_study.txt","FSA Handbook 2025-26 Vol. 3 Ch. 3 — packaging + studentaid.gov Pell + Work-Study overviews","federal-primary (priority 1)","","","","chunk_001600 (pell_grant.txt) | chunk_001599 (pell_grant.txt) | chunk_000773 (vol7_ch3_202526.txt) | chunk_001606 (subsidized_loans.txt) | chunk_001611 (work_study.txt)"
"M3-02","M3","What happens to my loans and scholarship if I drop below half-time or withdraw from school?","Federal Direct Loan grace periods begin. Subsidized loan interest starts accruing after the grace period ends. Return of Title IV funds calculations may require repayment of a portion of aid. University scholarship eligibility depends on institutional enrollment requirements.","vol5_ch1_202526.txt + subsidized_loans.txt + umich_sap.txt","FSA Handbook 2025-26 Vol. 5 Ch. 1 — R2T4 + studentaid.gov loans + institutional policy","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","","","","chunk_000602 (vol5_ch1_202526.txt) | chunk_000603 (vol5_ch1_202526.txt) | chunk_001387 (vol5_ch1_202425.txt) | chunk_001386 (vol5_ch1_202425.txt) | chunk_001325 (vol5_ch1_202425.txt)"
"M3-03","M3","I'm the first in my family to go to college and my parents don't file taxes — how does that affect my FAFSA and my aid?","Non-tax-filers can still complete the FAFSA. The FA-DDX will attempt to pull IRS data; if none exists, the student may need to provide additional documentation. Aid eligibility is based on the SAI calculated from reported income. First-generation students may also be eligible for TRIO and other support programs.","avg_ch2_202526.txt + avg_ch5_202526.txt + nasfaa_about_financial_aid.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — FAFSA non-filers + Ch. 5 — special cases + NASFAA consumer guide","federal-primary (priority 1) + professional (priority 3)","","","","chunk_000143 (avg_ch5_202526.txt) | chunk_000082 (avg_ch3_202526.txt) | chunk_000857 (avg_ch3_202425.txt) | chunk_000072 (avg_ch2_202526.txt) | chunk_001613 (nasfaa_about_financial_aid.txt)"
"M3-04","M3","Can I appeal if my financial aid gets cut off because of my grades?","Yes. Students who fail to meet SAP standards may appeal by submitting documentation of mitigating circumstances (illness, family emergency, etc.) and an academic plan showing how they will meet SAP by a specified point. If approved, the student is placed on financial aid probation. The appeal and probation process is governed by institutional policy within federal guidelines.","vol1_ch1_202526.txt + sap_consumer.txt + uw_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP appeals and probation + studentaid.gov SAP consumer page + institutional SAP appeal policy","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","","","","chunk_001639 (uw_sap.txt) | chunk_001636 (uw_sap.txt) | chunk_001632 (umich_sap.txt) | chunk_000203 (vol1_ch1_202526.txt) | chunk_000204 (vol1_ch1_202526.txt)"
"M3-05","M3","How is the amount of my financial aid package decided — who decides what I get?","The school's financial aid office determines the aid package. It starts with the Cost of Attendance (set by the school), subtracts the SAI (calculated from FAFSA data), and packages aid up to the resulting financial need using available federal, state, and institutional funds, subject to program limits.","vol3_ch2_202526.txt + vol3_ch3_202526.txt + avg_ch3_202526.txt","FSA Handbook 2025-26 Vol. 3 Ch. 2 — COA + Ch. 3 — packaging + Vol. AVG Ch. 3 — SAI","federal-primary (priority 1)","","","","chunk_001595 (how_aid_calculated.txt) | chunk_000530 (vol3_ch3_202526.txt) | chunk_001281 (vol3_ch3_202425.txt) | chunk_000495 (vol3_ch3_202526.txt) | chunk_001290 (vol3_ch3_202425.txt)"
"M3-06","M3","My financial aid refund check is late — when is the school supposed to pay me and what are my rights?","Schools must disburse Title IV aid within specific timeframes and must provide credit balance refunds to students within 14 days of the credit balance occurring. Students have the right to hold credit balances at the institution or have them returned.","vol3_ch1_202526.txt + vol2_ch3_202526.txt + avg_ch4_202526.txt","FSA Handbook 2025-26 Vol. 3 Ch. 1 — disbursement timing + Vol. 2 Ch. 3 — institutional Title IV admin requirements + Vol. AVG Ch. 4 — verification and disbursement holds","federal-primary (priority 1)","","","","chunk_000125 (avg_ch4_202526.txt) | chunk_000135 (avg_ch4_202526.txt) | chunk_000910 (avg_ch4_202425.txt) | chunk_000901 (avg_ch4_202425.txt) | chunk_001571 (fafsa_deadlines.txt)"
"M3-07","M3","Can I use financial aid to pay for an online degree program?","Yes, if the institution and program are Title IV eligible. Online programs at accredited institutions can qualify for Pell Grants, Direct Loans, and Work-Study. Distance education programs must meet specific requirements around regular and substantive interaction.","vol2_ch1_202526.txt + vol3_ch3_202526.txt + pell_grant.txt","FSA Handbook 2025-26 Vol. 2 Ch. 1 — institutional eligibility for distance education + Vol. 3 Ch. 3 — packaging + studentaid.gov Pell overview","federal-primary (priority 1) + federal-consumer (priority 2)","","","","chunk_001597 (how_aid_calculated.txt) | chunk_001598 (pell_grant.txt) | chunk_000944 (vol1_ch1_202425.txt) | chunk_001520 (vol6_intro_202425.txt) | chunk_000619 (vol6_ch1_202526.txt)"
"M3-08","M3","I got more financial aid than I needed and spent it — do I have to pay any of it back if I withdraw?","Yes, potentially. If a student withdraws before completing 60% of the payment period, a Return of Title IV Funds (R2T4) calculation determines how much aid was earned. Unearned aid must be returned by the school and possibly by the student. The order of return follows federal priority: unsubsidized loans, subsidized loans, Pell Grants, other grants.","vol5_ch1_202526.txt + vol3_ch1_202526.txt + avg_ch4_202526.txt","FSA Handbook 2025-26 Vol. 5 Ch. 1 — R2T4 calculation + Vol. 3 Ch. 1 — disbursement + Vol. AVG Ch. 4 — verification holds","federal-primary (priority 1)","","","","chunk_001632 (umich_sap.txt) | chunk_001325 (vol5_ch1_202425.txt) | chunk_000537 (vol5_ch1_202526.txt) | chunk_001399 (vol5_intro_202425.txt) | chunk_001322 (vol5_ch1_202425.txt)"
"M3-09","M3","My school put me on academic probation — is that the same as losing my financial aid?","Not necessarily. Academic probation and financial aid SAP suspension are separate processes. A student can be on academic probation without losing federal aid if they still meet SAP standards. Conversely, a student can lose aid for failing SAP even if not on academic probation. The school determines both independently.","vol1_ch1_202526.txt + sap_consumer.txt + pace_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP independence from academic standing + studentaid.gov SAP consumer page + Pace University SAP policy","federal-primary (priority 1) + federal-consumer (priority 2) + institutional (priority 4)","","","","chunk_001630 (umich_sap.txt) | chunk_001632 (umich_sap.txt) | chunk_000976 (vol1_ch1_202425.txt) | chunk_001602 (sap_consumer.txt) | chunk_001373 (vol5_ch1_202425.txt)"
"M3-10","M3","I'm getting married and my spouse has a lot of student loan debt — will that affect my financial aid?","For independent students, a spouse's income is included in the SAI calculation, which can reduce aid eligibility. However, a spouse's existing student loan debt does not directly reduce the SAI. The FAFSA collects household income and assets, not existing debt obligations.","avg_ch2_202526.txt + avg_ch3_202526.txt + vol3_ch2_202526.txt","FSA Handbook 2025-26 Vol. AVG Ch. 2 — FAFSA spouse questions + Ch. 3 — SAI calculation + Vol. 3 Ch. 2 — COA and budget","federal-primary (priority 1)","","","","chunk_000143 (avg_ch5_202526.txt) | chunk_000839 (avg_ch2_202425.txt) | chunk_000062 (avg_ch2_202526.txt) | chunk_000092 (avg_ch3_202526.txt) | chunk_000867 (avg_ch3_202425.txt)"
"C-01","C","Does the government require me to pass 80% of my classes to keep my financial aid?","No. The federal SAP standard requires students to complete at least 67% of attempted credits cumulatively. An 80% requirement is above the federal floor and reflects institutional policy at some schools, such as the University of Washington.","vol1_ch1_202526.txt + uw_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP quantitative standard + UW SAP policy","federal-primary (priority 1) overrides institutional (priority 4)","UW verbatim: 'Complete a minimum of 80% of the cumulative credits you attempted.' Federal standard is 67%.","","","chunk_001545 (vol7_ch3_202425.txt) | chunk_001281 (vol3_ch3_202425.txt) | chunk_000495 (vol3_ch3_202526.txt) | chunk_000761 (vol7_ch3_202526.txt) | chunk_000166 (vol1_ch1_202526.txt)"
"C-02","C","Is a 2.5 GPA required by the federal government for students in education programs to keep their aid?","No. The federal SAP GPA minimum is 2.0 for all undergraduates regardless of program. A 2.5 GPA requirement for education students reflects institutional policy, such as at Pace University's School of Education.","vol1_ch1_202526.txt + pace_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP qualitative GPA standard + Pace University SAP policy","federal-primary (priority 1) overrides institutional (priority 4)","Pace verbatim: 'Minimum Cumulative QPA: 2.50' for School of Education undergraduate students. Federal standard is 2.0.","","","chunk_000166 (vol1_ch1_202526.txt) | chunk_000942 (vol1_ch1_202425.txt) | chunk_000783 (vol7_intro_202526.txt) | chunk_001201 (vol2_intro_202425.txt) | chunk_000420 (vol2_intro_202526.txt)"
"C-03","C","My school says I need to complete 70% of my classes once I've taken more than 96 credits — is that a federal rule?","No. The federal SAP pace standard is 67% for all students regardless of how many credits they have attempted. A tiered or higher pace standard is an institutional policy. Pace University applies a 70% completion standard to students who have attempted 96 or more credits.","vol1_ch1_202526.txt + pace_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP quantitative standard + Pace University tiered SAP policy","federal-primary (priority 1) overrides institutional (priority 4)","Pace verbatim: '96-180 credits attempted: Required Percentage Passed 70%.' Federal standard is 67% at all credit levels.","","","chunk_001638 (uw_sap.txt) | chunk_001637 (uw_sap.txt) | chunk_001634 (uw_sap.txt) | chunk_001633 (uw_sap.txt) | chunk_000761 (vol7_ch3_202526.txt)"
"C-04","C","Does the federal government set a maximum time limit for how long I can take to finish my degree and still get aid?","Yes. The federal maximum timeframe standard requires students to complete their program within 150% of the published program length (e.g., six years for a four-year degree). However, some institutions set stricter timeframes. This is a federal floor, not a ceiling.","vol1_ch1_202526.txt + uw_sap.txt","FSA Handbook 2025-26 Vol. 1 Ch. 1 — SAP maximum timeframe + UW SAP maximum timeframe policy","federal-primary (priority 1) — institutional policies may be stricter","UW SAP page specifies maximum timeframe consistent with federal 150% standard but applies it to all aid including institutional.","","","chunk_001634 (uw_sap.txt) | chunk_001637 (uw_sap.txt) | chunk_001633 (uw_sap.txt) | chunk_000760 (vol7_ch2_202526.txt) | chunk_001544 (vol7_ch2_202425.txt)"
